羅馬字	漢字	頻率
ah-bu	阿哺	1
ah-ko	阿哥	3
ah-kwu	阿姑	1
ah-lah	阿拉	33
ah-lah-go	阿拉個	4
ah-nyiang	阿孃	1
ah-tia	阿爹	2
ah-tia-go	阿爹個	2
ah-tsi	阿姊	2
ao-dön	拗斷	1
bah	拔	1
bah	白	1
bao	抱	2
bao-nyiah	暴虐	2
be	被	2
bi	皮	1
bi-ko	避過	1
bin-yüô-ming	便雅憫	1
bing	病	1
bing-kyü	憑據	6
boh-ts	雹子	16
bu-tʽih	部鐵	1
bu-üô	部亞	1
bô-kyʽi	爬起	1
cing	准	2
coh	給	1
cong	衆	5
cong-dzoh	衆族	1
cong-nyiang	中央	8
cong-nying	衆人	3
công-nyin	壯年	1
cü	主	4
cü	嘴	1
cü-jing	嘴脣	2
cü-pô	嘴巴	4
cü-pô-go	嘴巴個	1
cün-deo	磚頭	6
cün-deo-go	磚頭個	1
cün-kyʽi	轉去	1
cʽih	出	7
cʽih-hyüih-go	出血個	2
cʽih-kyʽi	出去	1
cʽih-meng	出門	2
cʽih-si	出世	1
cʽong-mun	充滿	4
cʽü	娶	3
cʽü	取	2
cʽü	吹	1
cʽü-joh	取贖	1
cʽü-tsing	吹進	1
da	大	1
da-mô-fong	大麻風	1
dao	道	7
de	了	1
deh-we	特爲	1
deng	庉	1
deng-cʽü-go	庉處個	1
deng-kæn-go	庉間個	2
deo	頭	1
deo-go	頭個	2
di	地	2
di-fông	地方	45
di-fông-go	地方個	3
di-ka	地界	7
di-kyʽi	提起	4
di-li	地裏	1
di-min-teng	地面頂	1
di-nyi	第二	1
di-nyi-nyih	第二日	1
di-ts	蹄子	1
di-tʽu	地土	1
di-tʽu-go	地土個	3
di-yiang	地垟	2
di-yiang-li	地垟裏	3
di-zông	地上	1
diao	掉	1
din-deo	田頭	1
din-li	田裏	5
din-li-go	田裏個	7
ding	定	3
ding-læ	停來	1
djoh-nyih	逐日	1
djong-deo	重頭	1
djong-djong	重重	2
djong-djong-go	重重個	1
djong-go	重個	1
djong-tæn	重擔	2
djong-tæn-go	重擔個	1
djü-diao	除掉	3
djü-mih-diao	除滅掉	1
djün	傳	2
djün-hyiang	傳向	1
djün-neng	全能	1
do	馱	11
do	大	3
do-cʽih	馱出	2
do-do	大大	2
do-kyʽi	馱去	1
do-kyʽi	馱起	1
do-kyʽi-læ	大起來	1
do-leh	馱勒	3
do-læ	馱來	1
