羅馬字	漢字	頻率
ah	壓	3
ah	阿	38
ao	奧	14
ba	敗	12
bah	拔	2
bah	白	6
bao	暴	4
be	備	1
be	被	5
beng	朋	2
beng	笨	1
bi	皮	1
bih	別	27
bih	𧼱	1
bin	便	3
bing	並	2
bing	平	6
bing	憑	1
bing	病	1
bo	婆	2
bu	步	1
bu	菩	27
bu	葡	1
bun	伴	1
bæn	爿	1
bæn	辦	8
bôh	薄	1
bông	旁	2
bông	防	2
cing	准	2
cing	震	6
coh	只	2
coh	捉	2
coh	燭	1
coh	給	2
cong	中	5
cong	種	4
cong	終	4
cong	總	3
cong	衆	11
côh	斫	1
côh	築	3
công	掌	3
cü	主	45
cü	制	1
cü	嘴	2
cü	株	1
cü	注	1
cü	知	8
cü	緻	2
cü	諸	7
cü	鑄	1
cün	轉	39
cʽih	出	55
cʽong	充	4
cʽü	取	2
cʽü	處	12
cʽün	穿	1
da	埭	2
da	大	90
dah	踏	1
dah	達	1
dao	盜	2
dao	萄	1
dao	逃	6
dao	道	18
de	了	165
de	隊	1
deh	了	2
deh	凸	1
deh	奪	5
deh	特	9
deh	突	1
den	窞	1
deng	屯	1
deng	庉	21
deo	投	5
deo	頭	105
di	地	141
di	弟	8
di	提	4
di	第	17
diah	牒	2
diao	掉	48
diao	調	1
dih	敵	3
din	殿	1
din	田	2
din	鈿	2
ding	定	15
djoh	着	1
djoh	逐	1
djong	重	7
djôh	着	9
djông	常	10
djü	住	9
djü	廚	1
djü	治	6
djü	除	1
djün	傳	6
djün	全	1
do	大	43
do	陀	1
do	馱	5
doh	獨	3
doh	讀	9
dong	動	10
dong	同	6
dong	銅	5
du	徒	4
du	肚	1
dza	咋	61
dza	寨	1
dzao	造	3
dziah	着	5
dziang	詳	2
dziang	長	3
dziao	朝	3
dziao	潮	3
dzih	寂	2
dzih	直	17
dzing	仍	10
dzing	剩	2
dzing	城	34
dzing	塵	3
dzing	情	6
dzing	成	5
dzing	承	1
dzing	臣	1
dzing	陣	7
dziu	仇	7
dzong	從	28
dzu	助	1
dzæ	在	21
dzæ	才	1
dzæ	纔	2
dzæ	財	1
dzæn	暫	1
dzô	查	7
dzông	常	1
dæ	代	8
dæ	待	2
dæ	抬	1
dæ	臺	1
dæn	但	47
dæn	憚	4
dæn	淡	1
dô	大	16
dông	堂	8
dông	蕩	5
dön	團	1
en	安	9
en	庵	3
en	暗	10
en	案	1
eng	恩	2
eo	歐	7
eo	謳	12
fah	法	15
fah	發	9
feh	弗	138
feng	分	13
feng	吩	3
fi	廢	4
fi	腓	8
fi	菲	2
fi	非	7
fi	飛	2
foh	福	2
fong	封	2
fong	風	1
fu	咐	3
fu	夫	10
fu	富	2
fu	府	2
fæn	反	18
fæn	番	1
fông	放	8
fông	方	136
geh	搿	2
go	個	442
gyi	其	264
gyi	奇	3
gyi	旗	1
gyiang	強	7
gyiao	橋	1
gyiao	轎	1
gyih	及	8
gyih	極	2
gyin	虔	1
gying	勁	1
gying	近	5
gyiu	求	6
gyiu	舊	11
gyü	懼	5
gyü	跪	1
gyüih	掘	3
gyün	權	17
gyüoh	局	1
gyüong	窮	1
gæ	戤	1
gô	伽	3
hao	好	54
he	許	1
heh	赫	1
heh	黑	11
hen	漢	13
hen	鼾	1
heng	很	1
ho	呵	1
ho	火	15
ho	訶	5
ho	貨	1
hoh	𢞕	3
hong	哄	1
hwe	灰	3
hweh	忽	2
hwu	呼	4
hwu	虎	1
hwun	喚	2
hwun	歡	3
hwô	化	1
hwô	花	4
hyi	喜	3
hyi	嬉	2
hyi	希	19
hyi	戲	3
hyiang	向	32
hyiang	鄉	12
hyiang	響	4
hyiao	孝	1
hyiao	曉	7
hyih	歇	3
hyin	獻	2
hyin	顯	1
hying	興	14
hyü	虛	3
hyü	許	47
hyüih	血	7
hyüing	訓	2
hyüong	兄	5
hyüong	兇	7
hyüong	胸	1
hæ	海	12
hô	呵	1
hô	颬	1
i	依	11
i	倚	1
i	意	18
i	衣	1
iah	約	10
iang	養	1
iao	要	49
ih	一	190
in	煙	1
ing	印	2
ing	因	58
ing	應	2
ing	英	4
jih	入	2
jih	十	18
jih	實	8
jih	日	4
jih	習	1
jing	循	1
jing	神	10
jing	順	2
joh	屬	6
jôh	屬	1
jü	如	5
jü	敘	6
jü	緒	1
jü	聚	3
jü	誰	14
jün	全	1
jün	善	2
jün	然	28
jün	船	9
ka	介	91
ka	解	2
kah	夾	2
kah	格	2
kah	隔	1
