羅馬字	漢字	頻率
ah-di	阿弟	3
ah-feh-djü	壓弗住	1
ah-fi-li-kyüô	阿非利加	4
ah-gyih-r	阿及爾	3
ah-ko	阿哥	1
ah-lah	阿拉	12
ah-lah-go	阿拉個	1
ah-me	阿妹	1
ah-nyiang	阿孃	3
ah-nyiang-go	阿孃個	1
ah-sah	壓煞	1
ah-tia	阿爹	3
ah-tia-go	阿爹個	1
ah-to	阿多	3
ao-di-li-üô	奧地利亞	6
ao-kwu-z-tôh	奧古士督	8
ba-ts	敗仔	3
ba-tsiang	敗仗	3
bah-mo	拔摩	1
bah-sing	白身	1
bah-zông	拔上	1
bao-nyiah	暴虐	3
bao-z	暴時	1
be	被	4
beng-go	笨個	1
beng-yiu	朋友	1
beng-yiu-kô	朋友家	1
bih	別	3
bih	𧼱	1
bih-cʽü	別處	3
bih-go	別個	3
bih-koh	別國	9
bih-koh-go	別國個	2
bih-kôh	別國	1
bih-u-sen	別烏碎	2
bih-yiang	別樣	4
bin	便	1
bin-tông	便當	1
bing	並	1
bing	病	1
bing-deo	平頭	1
bing-feh-z	並弗是	1
bing-kyü	憑據	1
bu-dao-yüô	葡萄牙	1
bu-sah	菩薩	21
bu-sah-go	菩薩個	3
bæn	辦	6
bæn-go	辦個	1
bæn-z-tʽi	辦事體	1
bông-be	防備	1
bông-pin	旁邊	2
cing	准	2
cing-dong	震動	1
cing-leh	震勒	2
coh	給	2
coh	捉	1
coh-kwun	只管	2
cong	衆	7
cong	總	1
cong-din	種田	1
cong-koh	中國	3
cong-ming	總名	1
cong-nyiang	中央	1
cong-nying	衆人	1
cong-ping	總兵	1
cong-ü	終於	2
côh	築	1
côh-go	築個	2
côh-za	斫柴	1
công	掌	1
công-gyün	掌權	2
cü	主	1
cü-cʽih-go	鑄出個	1
cü-i	主意	1
cü-kwu	主顧	33
cü-kwu-z	主顧是	1
cü-kyiao	主教	1
cü-pô	嘴巴	1
cü-pô-li	嘴巴裏	1
cü-ʽeo	諸侯	7
cün-fông	轉方	14
cün-kyʽi	轉去	1
cün-læ	轉來	1
cʽih	出	3
cʽih-go	出個	4
cʽih-gyi-peh-i	出其不意	2
cʽih-kyʽi	出去	2
cʽih-meng	出門	3
cʽih-ming-go	出名個	1
cʽih-sih	出息	1
cʽih-sing	出身	3
cʽih-sing-go	出身個	1
cʽong-kyüing	充軍	4
cʽü	取	1
cʽü-cʽü	處處	1
cʽü-siao	取笑	1
cʽün-leh	穿勒	1
da	大	2
da-dzing	大臣	1
da-fu	大夫	1
da-iah	大約	2
da-ing	大英	1
da-kæ	大概	8
da-lah-ziang	大拉象	2
da-li	大裏	1
da-tsiang	大將	4
da-tsiu	大洲	1
dah-wu	踏糊	1
dao	逃	3
dao	道	1
dao-feh-tseo-go	逃弗走個	1
dao-kyiao	道教	1
dao-li	道理	5
dao-næn	逃難	1
dao-tseo	逃走	1
de	了	119
deh-deh	特特	1
deh-kyʽi	奪去	2
deh-leh-kyʽi	奪了去	3
deh-ma	特買	2
deh-ma-go	特買個	1
deh-nyi-s	突尼斯	1
deh-we	特爲	2
den-li	窞裏	1
deng	庉	6
deng	屯	1
deng-feh-teh	庉弗得	1
deng-go	庉個	1
deng-kæn	庉間	2
deng-leh	庉勒	2
deng-tao	庉到	1
deng-tih	庉的	3
deng-zông	庉晌	3
deng-zông	庉上	2
deo	頭	3
deo-jü	頭緒	1
deo-liang	頭兩	1
deo-nyin-cün	頭扭轉	1
deo-teng	頭頂	1
deo-tsao-ts	頭早仔	1
deo-voh	投伏	1
deo-voh-de	投伏了	1
deo-ʽông	投降	3
di	第	4
di	地	2
di-bu	地步	1
di-cing	地震	3
di-dong	地動	2
di-fông	地方	111
di-ih-go	第一個	1
di-ih-tsông	第一章	1
di-kyʽi	提起	1
di-leh	提了	1
di-li	地理	1
di-ming	地名	2
di-ng	第五	1
di-nyi	第二	2
di-nyi-tsao	第二遭	1
di-nyi-vah	第二伐	1
di-nyi-yiang	第二樣	1
di-s	第四	3
di-sæn	第三	1
di-tsʽih	第七	1
di-tʽu	地土	2
di-yiang	地垟	1
di-ʽo-keh-li-siang	提賀葛里相	2
di-ʽô	地下	1
diao-dong	調動	1
dih-koh	敵國	2
din-pæn	田畈	1
ding	定	1
ding-kwe	定規	1
ding-lôh	定落	1
djoh-tsih	逐節	1
djong-sông-liao	重傷了	1
djông	常	4
djông-djông	常常	3
djü	治	5
djü	住	1
djü	除	1
djü-ah	治壓	1
djün	傳	3
djün	全	1
djün-lôh	傳落	1
do	大	20
do-cʽih	馱出	2
do-do	大大	1
do-dziao	大潮	1
do-kwu-nyiang	大姑娘	1
do-kô	大家	1
do-leh	馱了	1
do-læ	馱來	2
do-mih-siang	陀密相	1
do-mô-deo	大碼頭	1
do-nyiang	大樣	1
do-nying	大人	1
do-tʽe	大腿	1
doh	讀	1
doh-doh	獨獨	1
doh-feh-cʽih	讀弗出	1
doh-meng	獨門	1
doh-shü	讀書	5
doh-shü-nying	讀書人	2
dong	動	1
dong	銅	1
dong-din	銅鈿	2
dong-kong	動工	1
dong-leh	動勒	1
dong-lo	銅鑼	1
dong-meo	同謀	1
dong-nyin-go	同年個	1
dong-shih	同室	1
dong-sing	動身	1
dong-sing	同心	1
dong-siu	動手	2
du-bi	肚皮	1
dza	咋	17
dza-go	咋個	26
dza-go-de	咋個了	1
dza-kun	咋管	1
dza-kun-do	咋管大	1
dza-we	咋會	13
dzao-fæn	造反	3
dziah	着	3
dziah-djong	着重	1
dziah-gæ	着戤	1
dziang-kyiu	長久	1
dziang-si	詳細	2
dziang-tʽong	長通	1
dziao	潮	1
dziao-dæ	朝代	1
dziao-nyih	潮熱	1
dzih	直	3
dzih-neh	寂納	1
dzih-neh-miao	寂納廟	1
dzih-tao	直到	1
dzih-teng	直等	5
dzing	城	2
dzing-gyiu	仍舊	10
dzing-li	城裏	2
dzing-li-go	陣裏個	2
dzing-li-hyiang	城裏向	2
dzing-ng-dzing	承爾情	1
dzing-nga	城外	1
dzing-nyün	情願	4
dzing-shü	陣勢	1
dzing-ts	城子	15
dzing-ts-go	城子個	1
dzing-tsiao	成招	1
dzing-tsʽing	成親	1
dzing-we	成爲	1
dziu	仇	5
dzong	從	14
dzong-sin	從先	5
dzong-tsʽ	從此	1
dzong-tsʽ-ts-ʽeo	從此之後	2
dzong-zin	從前	1
dzæ-dzing	才情	1
dzæ-gyi-nen	在其內	2
dzæ-nen	在內	2
dzæ-s	纔始	2
dzæ-veh	財物	1
dzæn-z	暫時	1
dzô-tsʽah	查察	2
dzô-tsʽah-kwun	查察官	3
dzô-tsʽah-ngô-meng	查察衙門	1
dæ	代	2
dæ	待	2
dæ	抬	1
dæn-ming	但明	1
dæn-yiæ-li	但也理	3
dæn-z	但是	40
dô-kô	大家	16
dông	堂	1
dông-deo	蕩頭	2
dông-pin	蕩邊	3
dön-kyʽün	團圈	1
en-dông	庵堂	3
en-en	安安	1
en-leh	暗了	1
en-teh-iah-ko	安德約戈	1
en-teng	安敦	4
en-ti-ah-ko	安底阿戈	2
eo	謳	12
eo-lo-pô	歐羅巴	7
fah	發	2
fah-cʽih-læ	發出來	1
fah-ping	發兵	1
fah-ts	法子	5
feh	弗	48
feh-cün	弗轉	1
feh-djü	弗住	1
feh-hao	弗好	1
feh-hyiao-teh	弗曉得	1
feh-hyü	弗許	5
feh-i	弗依	1
feh-jün	弗然	3
feh-ken	弗敢	1
feh-keo	弗夠	3
feh-kwun	弗管	1
feh-kʽeng	弗肯	5
feh-leng	弗論	2
feh-lôh-go	弗落個	1
feh-neng-keo	弗能夠	5
feh-pih	弗必	3
feh-pʽô-go	弗怕個	1
feh-siang	弗相	1
feh-siang-dong	弗相同	1
feh-siang-sing	弗相信	1
feh-siao	弗少	2
feh-sô-teh	弗捨得	2
feh-sô-teh-go	弗捨得個	1
feh-te	弗對	1
feh-teh	弗得	1
feh-teh-cü	弗得知	1
feh-to	弗多	1
feh-tsiao	弗照	6
feh-tsiao-dza	弗照咋	1
feh-tsôh	弗作	1
feh-we	弗會	1
feh-ziang	弗像	1
feh-zing	弗曾	1
feh-zông	弗上	2
feng	分	1
feng-fu	吩咐	3
feng-kʽæ	分開	4
feng-leh	分了	5
fi-cʽih-læ	飛出來	1
fi-diao	廢掉	1
fi-diao-de	廢掉了	1
fi-diao-go	廢掉個	1
fi-dæn	非但	3
fi-lih	腓力	2
fi-nyi-kyi	腓尼基	6
fi-pao	飛報	1
fi-wông	廢王	1
fi-z-pô-sæn	菲士巴三	2
foh-kyʽi	福氣	1
foh-li	福禮	1
fong	封	2
fong-sing	風聲	1
fu-tsoh	富足	1
fu-tsoh-kyʽi-læ	富足起來	1
fæn-cün	反轉	15
fæn-ping	番餅	1
fông	放	1
fông	方	1
fông-ho	放火	3
fông-leh	放了	2
fông-leh	放勒	1
fông-pʽao	放炮	1
