羅馬字	漢字	頻率
a	阿	1
ah	阿	158
ao	懊	2
ao	拗	2
bah	白	1
be	備	1
be	被	3
beh	浡	3
beng	朋	2
bih	別	5
bih	鼻	3
bih	𨂅	4
bin	便	1
bing	並	2
bing	瓶	1
bing	病	6
bing	蘋	1
bing	評	3
boh	薄	2
bu	簿	13
bun	伴	1
bæn	爿	11
bæn	牌	3
bæn	辦	1
bô	爬	3
bông	旁	1
bông	防	2
coh	給	2
cong	供	1
cong	忠	3
cong	鐘	2
cü	主	7
cü	嘴	2
cü	株	4
cü	知	7
cün	轉	4
cʽih	出	25
cʽoh	戳	2
cʽô	叉	4
cʽü	取	1
cʽü	處	7
cʽün	穿	3
da	大	4
dah	達	1
dao	道	14
de	了	43
de	隊	5
deh	突	1
den	頭	5
deng	庉	4
deo	頭	42
di	地	2
di	弟	2
di	第	8
diao	掉	4
din	田	1
din	鈿	39
ding	定	10
djong	重	4
djôh	着	7
djông	常	9
djü	住	1
djün	傳	1
djün	全	1
do	大	24
do	惰	1
do	馱	18
doh	獨	2
doh	讀	10
dong	動	1
dong	桶	7
dong	銅	28
du	徒	1
du	肚	3
dz	慈	1
dza	咋	19
dzeng	存	2
dzi	遲	3
dziah	着	1
dziang	場	1
dziang	杖	1
dziang	長	2
dzih	值	3
dzih	直	1
dzin	錢	16
dzing	仍	3
dzing	情	1
dzing	成	1
dzing	承	4
dzong	從	5
dzu	助	2
dzæ	在	13
dzæ	才	1
dzæ	纔	3
dzæn	賺	8
dzô	查	6
dzô	茶	2
dæ	待	2
dæ	抬	1
dæn	但	6
dô	大	10
dông	堂	6
dông	蕩	1
dön	段	1
en	安	4
en	按	1
en	暗	1
eng	恩	6
eo	謳	12
fah	法	6
fah	發	14
feh	弗	105
feh	怫	1
feng	吩	3
fi	非	3
foh	福	2
fu	付	1
fu	咐	3
fu	富	1
fu	府	2
fæ	覅	2
fæn	番	4
fông	放	3
fông	方	3
go	個	171
gong	共	1
gwæn	摜	1
gyi	其	113
gyi	及	5
gyi	忌	1
gyi	旗	2
gyih	極	1
gyin	件	2
gying	勤	3
gying	近	1
gyiu	求	2
gyiu	舊	3
gyü	櫃	6
gyüong	窮	2
hah	嚇	1
hah	瞎	2
hao	好	62
hen	漢	24
ho	夥	2
ho	火	1
hong	哄	2
hwe	悔	1
hwe	晦	1
hweh	忽	2
hwu	呼	1
hwun	歡	2
hwô	花	8
hwông	慌	2
hwông	謊	4
hyi	喜	2
hyi	嬉	4
hyi	戲	1
hyiang	向	9
hyiang	鄉	2
hyiang	響	1
hyiao	孝	6
hyiao	曉	12
hyih	歇	2
hyü	虛	1
hyü	許	6
hyüing	訓	2
hyüong	兄	2
hyüong	兇	2
hyüong	嗅	3
hyüong	胸	1
hæn	喊	25
i	依	9
i	意	5
i	衣	7
iah	約	2
iao	要	30
ih	一	109
ing	因	12
ing	應	7
iu	憂	1
jih	十	10
jih	實	14
jing	忍	1
jing	神	7
jing	認	2
jing	順	10
joh	熟	1
jü	如	2
jü	聚	1
jü	薯	1
jü	誰	1
jün	然	8
ka	介	124
ka	解	7
kah	格	1
kah	隔	1
kao	交	1
kao	告	6
kao	教	6
kao	較	2
kao	高	1
keh	箇	93
ken	幹	20
ken	敢	2
keng	更	1
keng	跟	4
keo	夠	5
ko	果	2
ko	過	27
koh	國	2
kong	功	3
kong	工	1
kwah	刮	2
kwe	貴	1
kwu	故	1
kwu	顧	9
kwun	倌	1
