羅馬字	漢字	頻率
a-m	阿姆	1
ah-fah	阿發	9
ah-fah-go	阿發個	3
ah-lah	阿拉	22
ah-me	阿妹	2
ah-mong	阿蒙	39
ah-mong-go	阿蒙個	1
ah-ngwæn	阿頑	11
ah-nyiang	阿孃	22
ah-tia	阿爹	44
ah-tia-go	阿爹個	5
ao	拗	1
ao-feh-cün	懊弗轉	1
ao-hwe	懊悔	1
ao-hwô	拗花	1
be	被	3
be-hao-kæn	備好間	1
beh-cʽih	浡出	3
beng-yiu	朋友	2
bih-bih-tʽiao	𨂅𨂅跳	2
bih-bæn	別爿	1
bih-deo-kwun	鼻頭管	3
bih-nying	別人	1
bih-yiang	別樣	2
bing	並	2
bing	病	1
bing-ko	蘋果	1
boh-boh-go	薄薄個	1
bu-ts	簿子	2
bæn	辦	1
bô	爬	1
bô-kyʽi	爬起	1
bô-kyʽi-læ	爬起來	1
bông-pin	旁邊	1
coh	給	2
cong	供	1
cong	鐘	1
cong-sing	忠信	3
cü-i	主意	2
cü-kwu	主顧	2
cü-kwu-go	主顧個	1
cü-nying-kô	主人家	1
cü-pô	嘴巴	2
cün	轉	1
cʽih	出	3
cʽih-læ	出來	2
cʽih-tin	出點	1
cʽoh-kyi	戳記	2
cʽô-bæn	叉牌	3
cʽô-leh	叉勒	1
cʽü-siao	取笑	1
cʽün-hao-de	穿好了	1
cʽün-leh	穿勒	2
da-iah	大約	1
da-kæ	大概	1
dao	道	4
dao-li	道理	3
de	了	10
de	隊	1
den	頭	1
deng	庉	2
deng-leh	庉了	1
deng-nyih	庉日	1
deo	頭	7
deo-li	頭裏	1
deo-nyi-pah	頭二百	1
deo-tsao-ts	頭遭仔	1
deo-tsao-ts	頭遭子	1
di-fông	地方	1
di-ih	第一	1
di-ih-yiang	第一樣	1
di-loh	第六	1
di-ng	第五	1
di-nyi	第二	3
di-nyüoh	地獄	1
di-pah	第八	1
din	鈿	2
din-deo	田頭	1
djong-djong-go	重重個	1
djong-ze	重罪	1
djông-djông	常常	4
djün-dao-shü	傳道書	1
do	大	9
do	馱	4
do-cʽih-læ	馱出來	1
do-do	大大	4
do-dông	大堂	1
do-ko	馱過	2
do-leh	馱勒	6
do-leh-kyʽi	馱勒起	1
do-læ	馱來	1
do-nying	大人	4
do-tao	馱到	2
do-tih	馱的	1
doh	讀	5
doh-shü	讀書	4
doh-tin	讀點	1
doh-yiang	獨養	1
doh-zi	獨自	1
dong	動	1
dong-din	銅鈿	27
dong-din-go	銅鈿個	1
du-dzæ	肚才	1
du-kyi	肚飢	2
dz-pe	慈悲	1
dza	咋	11
dza-hao	咋好	2
dza-we	咋會	5
dza-yi	咋挔	1
dzeng	存	1
dzeng-læ	存來	1
dzi	遲	1
dzi-dzi	遲遲	1
dziah-go	着個	1
dziang-tʽong	長通	2
dzih-din	值鈿	3
dzin-gyü-li	錢櫃裏	4
dzin-gyü-li-go	錢櫃裏個	1
dzin-tin	錢店	4
dzin-tin-li	錢店裏	2
dzing-gyiu	仍舊	3
dzing-yiu	情由	1
dzong	從	2
dzong-læ	從來	1
dzong-siao	從小	1
dzong-tsʽ	從此	1
dzæ-fông	纔方	2
dzæ-z	纔是	1
dzæn	賺	1
dzæn-tin	賺點	2
dzæn-tsing-læ	賺進來	1
dzô	查	3
dzô	茶	1
dzô-cʽih-læ	查出來	1
dzô-dzô	查查	1
dæ	待	2
dæ	抬	1
dæn-ming	但明	2
dæn-z	但是	3
dô-kô	大家	10
dông-deo	蕩頭	1
en-leh	安勒	1
en-loh	安樂	1
en-s	暗四	1
en-tsʽah-s	按察使	1
en-tæn	安耽	1
en-w̆eng-go	安穩個	1
eng-nying	恩人	1
eng-we	恩惠	3
eng-we-go	恩惠個	2
eo	謳	11
eo-ts	謳仔	1
fah-dah	發達	1
fah-tin	發點	1
feh	弗	37
feh-cʽih	弗出	1
feh-da-li	弗大裏	1
feh-hao	弗好	1
feh-hyiang	弗響	1
feh-hyih	弗歇	1
feh-hyü	弗許	1
feh-i	弗依	1
feh-ing	弗應	1
feh-jü	弗如	1
feh-jün	弗然	1
feh-jün	怫然	1
feh-ken	弗敢	2
feh-keo	弗夠	2
feh-kyʽi	弗去	3
feh-kyʽin	弗欠	1
feh-kæ	弗該	1
feh-kʽeng	弗肯	4
feh-læ	弗來	2
feh-siang-tao	弗想到	1
feh-siao	弗少	1
feh-te	弗對	1
feh-tsiao	弗照	7
feh-tsôh	弗作	1
feh-tʽing	弗聽	1
feh-we	弗會	2
feh-z	弗是	6
feh-zing	弗曾	1
feh-zông	弗上	3
feng-fu	吩咐	3
fi-dæn	非但	1
fi-lah-tʽih-fi	非拉鐵非	1
foh-kyʽi	福氣	2
fu-kwe	富貴	1
fæ-gyi	覅其	2
fæn-jü	番薯	1
fæn-ping	番餅	2
fông-cʽih	放出	1
fông-læ	放來	1
fông-sing	放心	1
go	個	2
gong-long	共攏	1
gwæn-leh	摜勒	1
gyi	其	99
gyi	及	1
gyi-go	其個	7
gyi-lah	其拉	4
gyih-deo	極頭	1
gyin	件	1
gying-gying	勤勤	1
gying-lih	勤力	1
gyiu	求	2
gyü-deo-teng	櫃頭頂	1
gyüong-kwʽu	窮苦	2
hah-de	瞎了	1
hah-sah	嚇煞	1
hah-ts	瞎子	1
hao	好	29
hao-cʽü	好處	3
hao-go	好個	2
hao-hao	好好	3
hao-kyi-nyih	好幾日	1
hao-kyʽi	好去	1
hao-nying	好人	1
hao-peh	好撥	1
hao-sön	好算	1
hao-vong	好甮	1
hen-li	漢利	23
hen-li-go	漢利個	1
ho-lu	火爐	1
hong-pʽin	哄騙	2
hwe-kyʽi	晦氣	1
hweh-jün	忽然	2
hwun-hyi	歡喜	2
hwô	花	4
hwô-gyi	花旗	2
hwông-kyih-hwông-mông	慌急慌忙	1
hwông-wô	謊話	2
hyi-hyi	嬉嬉	1
hyi-hyi-de	嬉嬉了	1
hyiang	向	1
hyiang-djông	向常	1
hyiang-tsʽeng	鄉村	1
hyiang-ʽô	鄉下	1
hyiao-jing	孝順	6
hyiao-teh	曉得	11
hyiao-teh-go	曉得個	1
hyü-to	許多	5
hyüong	嗅	3
hyüong-di	兄弟	2
hyüong-hyüong	兇兇	1
hyüong-kwun-deo	胸脘頭	1
hæn-nah	喊哪	25
i-jing	依順	4
i-leh	依勒	1
i-pin	依邊	3
i-zông	衣裳	7
