羅馬字	漢字	頻率
be	被	1
beng	朋	1
bih	別	1
bing	並	1
bing	病	2
bun	盤	1
cong	中	1
cü	主	5
cü	知	1
cʽih	出	4
dao	道	9
de	了	4
deo	頭	8
di	地	3
di	提	1
di	第	2
di	題	1
diao	掉	2
djong	重	2
djôh	着	12
djông	常	2
djün	全	3
do	大	7
do	馱	1
doh	獨	1
doh	讀	1
dong	動	1
dong	同	1
du	徒	1
dza	咋	1
dziang	場	3
dzong	從	3
dzæ	在	1
dzæ	才	1
dæ	代	5
dæ	臺	1
dæn	但	5
dô	大	2
dông	堂	5
en	安	1
eng	恩	2
eo	謳	1
feh	弗	16
feng	分	1
foh	福	4
fong	封	1
fu	富	2
fông	方	1
go	個	72
gyi	其	31
gyi	奇	1
gyiu	求	2
gyü	櫃	1
gyüong	窮	3
hao	好	13
hwe	悔	1
hwun	歡	2
hwô	化	3
hwông	況	1
hyi	喜	2
hyi	稀	1
hyiang	享	2
hyiang	向	4
hyiang	響	1
hyiao	曉	2
hyin	顯	1
hyü	許	2
i	依	1
i	意	1
i	衣	1
iah	約	20
iao	要	5
ih	一	14
ing	因	5
ing	音	1
jih	十	2
jih	實	4
jing	仁	1
jing	神	5
jü	緒	1
jü	聚	3
jün	然	1
ka	介	8
ka	街	1
ka	解	3
kao	交	1
kao	告	3
kao	教	1
keh	箇	27
ken	幹	1
ken	感	3
keng	更	1
keo	夠	1
ko	過	5
kong	公	1
kwe	貴	2
kwu	顧	5
kwun	管	1
kwʽa	快	1
kwʽe	塊	1
kwʽe	魁	1
kwʽeng	睏	1
kwʽu	苦	4
kyi	基	1
kyi	幾	3
kyiao	叫	1
kying	敬	3
kying	經	4
kyiu	救	13
kyü	句	1
kyü	歸	1
kyüô	迦	6
kyʽi	去	5
kyʽi	氣	4
kyʽi	豈	2
kyʽi	起	2
kyʽin	愆	1
kyʽün	勸	2
kyʽüoh	確	1
kæ	改	1
kæ	該	1
kæn	間	9
kô	加	1
kô	家	4
kông	講	5
kông	降	1
kʽao	靠	4
kʽeh	刻	4
kʽen	看	2
kʽeng	肯	1
kʽeo	口	1
kʽeo	扣	2
kʽo	可	1
lah	拉	6
lao	老	4
leh	了	5
leh	勒	4
leng	論	1
li	厲	1
li	理	7
li	禮	2
li	裏	5
liang	兩	2
lih	立	4
lin	憐	1
ling	鄰	2
ling	靈	3
lo	羅	1
long	攏	1
læ	來	23
lô	落	1
lôh	落	6
m	嘸	5
ma	嗎	2
me	美	2
meng	問	2
meng	聞	7
meng	門	2
mi	米	6
mih	滅	1
min	眠	1
min	面	1
ming	名	1
ming	命	1
ming	明	5
mo	摩	1
moh	牧	6
moh	目	1
mô	麻	1
neh	得	2
nen	南	6
neng	能	2
ng	五	1
ng	兒	1
ng	爾	11
ngæn	眼	3
ngô	我	22
ni	呢	2
nyiah	捏	1
nyiang	樣	3
nyih	日	2
nying	人	24
nying	銀	5
nyiæn	唸	1
næn	難	2
oh	屋	2
pa	拜	3
pah	百	3
pao	保	1
pao	包	3
pe	背	1
peh	撥	5
peng	本	1
pi	庇	1
pin	邊	1
ping	並	3
pu	布	1
pô	把	1
pông	榜	1
pʽo	破	2
s	使	2
s	師	6
s	思	1
s	絲	1
s	詩	1
s	賜	1
sang	生	11
se	雖	1
seh	瑟	20
shih	說	11
shü	世	7
shü	書	4
si	死	5
si	細	1
sia	寫	1
siang	想	1
siang	相	8
siao	小	2
sih	息	1
sih	惜	1
sin	先	10
sing	伸	1
sing	信	10
sing	升	2
sing	姓	1
sing	心	5
sing	星	2
sing	聖	2
sing	聲	2
sing	醒	1
siu	手	2
soh	啥	4
song	送	1
su	甦	1
su	穌	19
sô	所	6
sô	舍	2
sô	赦	1
tao	倒	1
tao	到	8
tao	禱	2
teh	得	12
teh	答	1
teng	等	6
tih	的	3
tin	點	1
ting	盯	1
ting	頂	5
to	多	2
toh	督	1
tong	東	3
ts	之	1
ts	仔	2
ts	子	6
ts	至	1
tseo	走	7
tsih	即	1
tsih	只	4
tsih	積	2
tsih	節	1
tsing	枕	1
tsing	正	2
tsing	真	5
tsing	睛	2
tsing	進	2
tso	做	2
tsong	總	2
tsæ	宰	1
tsæn	讚	2
tsông	章	1
tsʽia	且	4
tsʽing	清	1
tsʽing	請	2
tsʽu	粗	1
tsʽông	唱	1
tu	都	6
tæn	單	3
tæn	耽	1
tʽa	太	1
tʽin	天	7
tʽing	聽	11
ve	𣍐	1
veh	物	2
væn	凡	6
væn	煩	1
væn	萬	2
wa	還	1
we	位	4
we	回	1
we	惠	4
we	會	2
we	爲	10
weh	活	3
wô	話	20
w̆e	慰	1
yi	又	1
yi	已	4
yia	也	4
yiang	樣	2
yiang	養	1
yin	沿	1
yiu	友	1
yiu	有	17
yiæ	耶	19
yün	遠	2
yüong	用	2
z	事	1
z	字	1
z	是	32
z	時	4
zao	造	3
ze	罪	16
zi	自	4
zia	謝	2
ziah	若	2
ziang	像	1
zin	前	2
zing	甚	1
ziu	受	3
ziu	就	19
zo	坐	2
zông	上	10
zông	牀	1
zông	裳	1
æ	愛	5
ô	哦	1
ôh	惡	2
ü	於	1
üong	永	2
ʽang	行	1
ʽeo	候	4
ʽeo	後	2
ʽæ	害	1
