羅馬字	漢字	頻率
be	被	1
beng-yiu	朋友	1
bih-nying	別人	1
bing	病	2
bing	並	1
cong	中	1
cü-kwu	主顧	4
cü-tsæ	主宰	1
cʽih	出	1
dao	道	1
dao-li	道理	7
deo	頭	3
di-fông	地方	1
di-ih	第一	2
di-mo-tʽa-go	提摩太個	1
di-moh	題目	1
djong-djong-go	重重個	1
djông-djông	常常	1
djün-djün	全全	1
djün-jün	全然	1
do	大	1
do-cʽih	馱出	1
do-do	大大	1
do-ka-zông	大街上	1
do-nyiang	大樣	3
doh	讀	1
doh-yiang	獨養	1
dong	同	1
dza-we	咋會	1
dzong	從	2
dzong-læ	從來	1
dzæ-neng	才能	1
dæ	代	3
dæ-teng	代等	1
dæn-z	但是	5
dô-kô	大家	2
en-tæn	安耽	1
eng-we	恩惠	2
eo-kyʽi-læ	謳起來	1
feh	弗	14
feh-leng	弗論	1
feh-z	弗是	1
feng	分	1
foh-kyʽi	福氣	4
fong	封	1
fu-kwe-go	富貴個	2
go	個	2
gyi	其	23
gyi-go	其個	5
gyi-lah	其拉	2
gyi-zi	其自	1
gyiu-gyiu	求求	1
gyü-dæ	櫃臺	1
gyüong-kwʽu	窮苦	2
gyüong-nying	窮人	1
hao	好	10
hao-tin	好點	1
hwe-ze-kæ-ko	悔罪改過	1
hwun-hyi	歡喜	1
hwun-hyi-go	歡喜個	1
hwông-tsʽia	況且	1
hyi-gyi	稀奇	1
hyiang	享	2
hyiang	向	1
hyiao-teh	曉得	2
hyin-cʽih	顯出	1
hyü-to	許多	2
i-leh	依勒	1
i-s	意思	1
i-zông	衣裳	1
iah-seh	約瑟	18
iah-seh-go	約瑟個	2
iao	要	4
iao-go	要個	1
ih	一	3
ih-dziang	一場	1
ih-go	一個	3
ih-kwʽe	一塊	1
ih-ngæn	一眼	1
ih-nyih	一日	1
ih-pao	一包	1
ih-yiang	一樣	1
ing-we	因爲	5
jih-dzæ	實在	1
jih-liang	十兩	1
jih-ng	十五	1
jih-we-go	實惠個	2
jing-ming	神明	4
jing-ming-go	神明個	1
jing-æ	仁愛	1
jü-long	聚攏	1
ka	介	4
ka-shih	解說	2
ka-shih-go	解說個	1
kao	教	1
kao-dæ	交代	1
keh	箇	3
keh-go	箇個	11
keh-kyü	箇句	1
keh-lah	箇拉	4
keh-peng	箇本	1
keh-sing	箇星	2
keh-we	箇位	4
keh-z	箇是	1
ken-dong	感動	1
ken-zia	感謝	2
keng-kô	更加	1
ko-de	過了	1
ko-leh	過了	1
kong-dao	公道	1
kwu-djôh	顧着	1
kwun	管	1
kwʽa	快	1
kwʽeng	睏	1
kwʽu-deo	苦頭	1
kyi	幾	1
kyi-go	幾個	1
kyi-liang	幾兩	1
kyi-toh	基督	1
kyiao-leh	叫勒	1
kyiu	救	13
kyü	歸	1
kyüô-nen-mi	迦南米	6
kyʽi	豈	2
kyʽi	去	1
kyʽi-go	去個	2
kyʽün-hwô	勸化	1
kyʽün-w̆e	勸慰	1
kyʽüoh-jih-go	確實個	1
kæ	該	1
kông	講	4
kông-hao	講好	1
kông-lôh	降落	1
kʽao-djôh	靠着	4
kʽen	看	1
kʽen-tong	看東	1
kʽeng	肯	1
kʽeo-kʽeo	扣扣	1
kʽo-lin	可憐	1
lao	老	3
lao-læ-go	老來個	1
li-hyiang	裏向	3
li-pa-dông	禮拜堂	2
li-ʽæ	厲害	1
lih-kʽeh	立刻	4
