羅馬字	漢字	頻率
a	阿	4
ah	阿	79
ang	㿮	2
ao	懊	1
ao	鏖	1
ba	牌	3
bah	白	12
bao	抱	13
bao	暴	3
be	備	2
be	背	1
be	被	4
be	裴	28
be	陪	2
beng	朋	5
bi	坒	1
bi	疲	1
bi	皮	2
bi	避	1
bih	別	22
bin	便	10
bin	辨	1
bin	辯	2
bing	並	1
bing	憑	1
bing	病	18
bing	評	1
bing	貧	1
bo	縛	2
boh	泊	1
boh	薄	1
bong	篷	1
bu	簿	1
bu	菩	17
bu	蒲	100
bun	盤	1
bæn	辦	3
bô	爬	8
bô	琶	8
bông	旁	1
bông	棒	1
bông	防	7
coh	只	3
coh	竹	1
coh	竺	1
coh	粥	2
coh	給	2
cong	中	1
cong	忠	1
cong	種	2
cong	終	1
cong	腫	2
cü	主	51
cü	嘴	6
cü	智	1
cü	株	9
cü	注	1
cü	知	11
cü	緻	1
cü	諸	1
cün	轉	16
cʽih	出	49
cʽing	春	1
cʽing	蠢	1
cʽü	取	3
cʽü	處	1
cʽü	趣	1
cʽün	穿	6
da	埭	2
da	大	5
dao	導	2
dao	桃	1
dao	稻	1
dao	道	37
de	了	83
de	兌	1
de	隊	2
deh	特	5
den	頭	4
deng	庉	15
deo	投	2
deo	頭	120
di	地	33
di	弟	2
di	提	1
di	第	25
diao	掉	15
diao	條	1
diao	調	1
din	田	4
din	鈿	15
ding	亭	5
ding	定	16
djong	重	12
djôh	着	26
djông	常	10
djü	住	7
djü	樹	1
djü	除	1
djün	傳	3
djün	全	1
do	大	82
do	馱	34
doh	獨	1
doh	讀	33
dong	動	9
dong	洞	2
dong	銅	3
du	徒	16
du	肚	1
dz	慈	1
dza	咋	33
dzeh	擇	1
dziah	着	5
dziang	場	3
dziang	腸	2
dziang	詳	2
dziang	長	2
dziao	召	1
dziao	朝	3
dziao	潮	1
dzih	值	19
dzih	直	8
dzing	仍	7
dzing	剩	1
dzing	城	1
dzing	成	4
dzing	承	2
dziu	綢	1
dzong	從	19
dzu	助	3
dzæ	在	17
dzæ	纔	6
dzæn	賺	1
dzæn	饞	1
dzô	查	2
dzô	茶	1
dæ	代	9
dæ	待	5
dæ	抬	8
dæ	袋	1
dæn	但	26
dô	大	8
dông	堂	19
dông	糖	4
dông	蕩	20
dön	團	2
en	安	4
en	暗	2
eng	恩	10
eo	謳	50
fah	法	17
fah	發	4
fah	髮	6
fah	𠲎	1
feh	弗	162
feng	分	1
feng	吩	4
feng	粉	1
fi	費	1
foh	福	7
fong	封	5
fong	風	5
fu	伕	2
fu	副	1
fu	咐	4
fu	夫	19
fu	富	1
fæ	覅	1
fæn	反	4
fæn	番	1
fæn	翻	6
fông	放	3
fông	方	23
go	個	498
gwæn	摜	2
gyi	其	358
gyi	奇	2
gyi	忌	1
gyi	騎	1
gyiang	滰	11
gyiao	轎	10
gyin	件	1
gyin	虔	1
gying	近	6
gyiu	求	30
gyiu	舊	7
gyü	跪	2
gyün	倦	1
gyüoh	鐲	1
gyüong	窮	1
gæ	戤	1
hah	喝	1
hah	瞎	1
hao	好	144
heh	黑	2
hen	漢	8
ho	夥	7
ho	火	2
ho	貨	1
hoh	𢞕	2
hong	哄	2
hwe	悔	1
hweh	忽	1
hwu	呼	1
hwu	虎	1
hwun	歡	24
hwun	花	9
hwô	化	1
hwô	花	8
hwông	謊	1
hyi	喜	24
hyi	嬉	4
hyi	戲	3
hyi	稀	2
hyiang	向	31
hyiang	鄉	1
hyiao	曉	49
hyih	吸	1
hyih	歇	7
hyih	脅	1
hyin	顯	178
hyü	虛	2
hyü	許	20
hyüih	血	5
hyüing	訓	3
hyüong	兄	1
hyüong	嗅	6
hæ	海	2
i	依	10
i	意	20
i	衣	5
i	醫	2
iah	約	9
iang	秧	3
iang	養	1
iao	腰	2
iao	要	97
ih	一	220
ih	揖	1
in	菸	1
ing	因	43
ing	應	17
ing	英	9
ing	陰	4
ing	音	2
iu	憂	6
jih	十	14
jih	實	18
jih	習	1
jing	忍	3
jing	潤	1
jing	神	97
joh	熟	6
jü	如	2
jü	樹	6
jü	誰	3
jün	全	1
jün	善	1
jün	然	8
jün	船	17
ka	介	114
ka	界	2
ka	解	8
kah	格	3
kah	胛	1
kah	隔	1
kao	交	5
kao	告	28
kao	教	45
kao	覺	2
keh	箇	240
keh	葛	4
ken	乾	8
ken	干	1
ken	幹	34
ken	感	5
ken	敢	1
ken	肝	1
ken	趕	3
keng	更	2
keng	跟	2
keo	夠	12
ko	個	9
ko	哥	3
ko	果	4
ko	過	45
koh	各	1
koh	國	10
kong	公	1
kong	功	2
kong	工	19
kwa	怪	1
kwa	拐	3
kwah	刮	1
kwe	歸	6
kwe	規	2
kwe	貴	1
kwe	鬼	2
kweh	骨	2
kwu	姑	56
kwu	孤	1
kwu	股	2
kwu	顧	31
kwun	官	4
kwun	管	9
kwæn	慣	1
kwæn	關	3
kwông	光	2
kwʽa	快	19
kwʽe	塊	6
kwʽeng	睏	12
kwʽu	苦	6
kwʽu	褲	1
kyi	基	7
kyi	寄	2
kyi	幾	14
kyi	既	3
kyi	紀	6
kyi	肌	10
kyi	記	11
kyi	飢	1
kyiah	腳	10
kyiao	叫	8
kyiao	教	10
kyiao	驕	2
kyih	今	3
kyih	吉	7
kyih	咭	2
kyih	急	4
kyih	結	2
kyin	肩	1
kyin	見	47
kying	敬	8
kying	景	1
kying	枕	1
kying	竟	1
kying	經	16
kying	緊	5
kying	鏡	1
kying	頸	1
kyiu	久	1
kyiu	九	2
kyiu	救	27
kyiu	究	1
kyü	句	12
kyü	據	1
kyü	歸	3
kyü	矩	2
kyüô	加	4
kyüô	嘉	1
kyüô	迦	1
kyʽi	去	90
kyʽi	棄	2
kyʽi	氣	12
kyʽi	起	38
kyʽiah	卻	1
kyʽiao	巧	2
kyʽih	喫	2
kyʽin	愆	6
kyʽin	欠	1
kyʽing	慶	1
kyʽing	輕	3
kyʽü	去	1
kyʽü	虧	1
kyʽün	勸	10
kyʽüoh	喫	19
kyʽüoh	曲	2
kæ	改	1
kæ	概	1
kæ	蓋	1
kæ	該	15
kæn	揀	5
kæn	間	49
kô	假	6
kô	加	3
kô	家	31
kô	架	3
kôh	各	9
kôh	擱	1
kông	江	5
kông	講	52
kông	降	2
kʽah	客	5
kʽao	靠	8
kʽeh	刻	3
kʽeh	渴	1
kʽen	看	88
kʽeng	肯	28
kʽeo	口	10
kʽeo	扣	8
kʽo	䯊	4
kʽo	可	10
kʽo	窠	1
kʽoh	哭	3
kʽong	孔	6
kʽong	恐	9
kʽæ	開	17
kʽô	抲	1
la	剌	1
lah	拉	74
lang	冷	3
lao	癆	1
lao	老	13
le	𨀤	2
leh	了	36
leh	勒	85
leng	論	5
li	利	8
li	厲	5
li	櫚	1
li	淚	6
li	理	191
li	禮	8
li	裏	122
li	離	3
liang	亮	4
liang	兩	22
liang	涼	3
liang	量	3
liao	䩍	2
liao	了	4
lih	力	2
lih	咧	2
lih	立	4
lin	憐	5
lin	連	6
ling	另	3
ling	林	1
ling	零	1
ling	靈	12
ling	領	5
liu	流	3
liu	留	2
lo	擄	2
lo	籮	1
lo	羅	4
loh	六	8
loh	綠	4
long	弄	22
long	攏	19
long	朧	1
lu	爐	1
lu	路	12
læ	來	217
læn	爛	1
læn	藍	2
lô	落	1
lôh	落	26
lông	狼	1
lông	螂	1
lön	亂	1
l̆a	拉	2
m	嘸	70
m	姆	4
ma	嗎	4
ma	買	4
mah	襪	1
mang	猛	1
mao	帽	1
mao	毛	3
mao	貌	10
mao	錨	1
me	梅	1
me	每	6
me	美	2
meng	問	21
meng	悶	6
meng	捫	1
meng	聞	14
meng	門	27
meo	母	35
meo	茂	1
mi	味	1
mi	咪	6
mi	未	1
mi	米	1
mi	迷	4
mih	末	3
mih	蜜	1
min	免	1
min	眠	6
min	面	20
ming	名	7
ming	命	5
ming	明	37
mo	摩	1
mo	碼	1
mo	魔	2
moh	木	6
moh	牧	1
moh	睦	4
mun	滿	1
mun	饅	1
mæ	買	1
mæn	慢	6
mæn	晚	1
mô	馬	10
mông	忘	4
mông	忙	1
mông	望	6
na	奶	10
