羅馬字	漢字	頻率
a-m	阿姆	4
ah-lah	阿拉	32
ah-lah-go	阿拉個	1
ah-nyiang	阿孃	36
ah-nyiang-go	阿孃個	1
ah-tia	阿爹	6
ao-hwe	懊悔	1
ao-tsao-pah-la	鏖糟八剌	1
bah-bah	白白	3
bah-liao-liao	白䩍䩍	1
bao	抱	4
bao-bao	抱抱	1
bao-gyi-go	抱其個	1
bao-leh	抱勒	4
bao-læ-ts	抱來仔	1
bao-tsing-læ	抱進來	1
bao-z	暴時	3
be	裴	28
be	被	4
be	備	1
be	背	1
be	陪	1
be-bæn	備辦	1
be-leh	陪勒	1
beng-yiu	朋友	5
bi-gyün	疲倦	1
bi-leh-ko	避勒過	1
bi-nyüoh	皮肉	1
bih	別	1
bih-go	別個	3
bih-hyiang	別向	1
bih-kʽæ	別開	5
bih-kʽæ-go	別開個	1
bih-nyiang	別樣	1
bih-nyiang-kao	別樣告	4
bih-nyih	別日	1
bih-nying	別人	5
bin-feh-cʽih	辨弗出	1
bin-leng	辯論	1
bin-poh	辯駁	1
bin-tông	便當	1
bing	病	12
bing-feh-z	並弗是	1
bing-kyü	憑據	1
bing-li	病裏	1
bing-shü	病勢	1
bing-zin-go	貧賤個	1
bo-djü-de	縛住了	1
boh-dziao	泊潮	1
bu-sah	菩薩	16
bu-sah-go	菩薩個	1
bu-zi	蒲齊	95
bu-zi-go	蒲齊個	5
bun-meng	盤問	1
bæn-go	辦個	1
bæn-tao	辦到	1
bô-hen-pô	琶漢巴	8
bô-kyʽi	爬起	2
bô-kyʽi-læ	爬起來	4
bô-kyʽi-læ-de	爬起來了	1
bô-zông	爬上	1
bông	棒	1
bông-pin	旁邊	1
coh	粥	2
coh	給	2
coh	竹	1
coh-kwun	只管	3
cong-cong-go	腫腫個	1
cong-din-go	種田個	1
cong-nyiang	中央	1
cong-sing	忠心	1
cong-ü	終於	1
cü	主	6
cü	嘴	2
cü-kwu	主顧	24
cü-nying-kô	主人家	3
cü-pô	嘴巴	2
cü-pô-li	嘴巴裏	1
cü-we	智慧	1
cü-we-go	諸位個	1
cün	轉	2
cün-læ	轉來	1
cʽih	出	9
cʽih-go	出個	1
cʽih-kyʽi	出去	2
cʽih-læ	出來	3
cʽih-meng	出門	1
cʽih-zæ	出材	1
cʽing-teng	春凳	1
cʽü-siao	取笑	3
cʽün	穿	3
cʽün-cʽün	穿穿	1
cʽün-leh	穿勒	1
da	大	1
da-ing-koh	大英國	2
da-kæ	大概	1
dao	道	13
dao-din	稻田	1
dao-li	道理	15
dao-ʽong	桃紅	1
de	了	8
de	隊	2
de-leh	兌勒	1
deh-deh-we-we	特特爲爲	1
deh-ma	特買	2
deh-we	特爲	1
deng	庉	7
deng-go	庉個	2
deng-kæn	庉間	2
deng-læ	庉來	1
deng-lôh	庉落	1
deng-tih	庉的	2
deo	頭	5
deo-fah	頭髮	6
deo-ih-go	頭一個	1
deo-ih-kyü	頭一句	1
deo-kying	頭頸	1
deo-tsao-ts	頭遭仔	2
deo-tʽæ	投胎	2
di	第	6
di-fông	地方	12
di-ih	第一	7
di-ih-dæ-go	第一代個	1
di-ih-fong	第一封	1
di-ih-yiang	第一樣	1
di-mo-tʽa	提摩太	1
di-nyi	第二	5
di-nyüoh	地獄	3
di-nyüoh-li	地獄裏	1
di-nyüoh-li-go	地獄裏個	1
di-pæn-teng	地板頂	1
di-sæn	第三	2
di-sæn-nyih	第三日	1
di-tsʽih	第七	1
di-yiang	地垟	2
di-yiang-li	地垟裏	2
di-ʽô	地下	1
diao-kao	調覺	1
din-yia-pæn-li	田野畈裏	1
ding-na-pô	亭那巴	5
djong	重	1
djong-djong	重重	3
djong-sin	重先	2
djong-ze	重罪	1
djôh-ih-kyi	着一記	1
djông	常	1
djü-diao	除掉	1
djü-leh	住勒	2
djü-leh	住了	1
do	馱	21
do	大	11
do-cʽih	馱出	1
do-do	大大	4
do-go	大個	3
do-kwu-nyiang	大姑娘	53
do-kwu-nyiang-go	大姑娘個	2
do-kyiah-kwʽu	大腳褲	1
do-kyʽi	馱去	1
do-kyʽi	馱起	1
do-leh	馱勒	7
do-nyiang	大樣	2
do-nying	大人	1
do-tih	馱的	2
do-tong	馱東	1
do-tʽing-li	大廳裏	1
doh	讀	22
doh-doh	讀讀	2
doh-go	讀個	2
doh-kyʽi	讀起	1
doh-leh	讀勒	1
doh-leh-cʽih	讀勒出	1
doh-tin	讀點	1
doh-we-liao	讀會了	1
doh-zi	獨自	1
dong	動	2
dong-din	銅鈿	3
dong-sing	動身	1
dong-siu	動手	1
du-di	徒弟	1
du-kyi	肚飢	1
dz-pe-go	慈悲個	1
dza	咋	19
dza-go	咋個	2
dza-long	咋弄	1
dza-nyiang	咋樣	2
dza-we	咋會	9
dziah-jih	着實	2
dziah-kyih	着急	3
dziang	場	1
dziang	長	1
dziang-dziang	詳詳	1
