羅馬字	漢字	頻率
a	挨	13
a	矮	2
ah	壓	9
ah	押	6
ah	軛	3
ah	阿	955
ao	奧	4
ao	嶴	4
ao	懊	4
ao	拗	1
ao	澳	1
ao	鏖	37
ba	排	1
ba	敗	4
bah	拔	8
bah	白	80
bang	彭	3
bang	棚	12
bang	碰	4
bang	𦗭	5
bao	抱	10
bao	暴	1
bao	袍	7
bao	跑	1
be	佩	6
be	倍	19
be	備	64
be	背	9
be	被	87
be	陪	4
beh	浡	1
beh	鵓	10
beng	朋	29
beng	盆	4
beng	笨	13
bi	疲	1
bi	皮	29
bi	肥	1
bi	避	10
biao	嫖	2
bih	別	211
bih	闢	72
bin	便	27
bin	辨	7
bin	辯	10
bing	並	19
bing	平	45
bing	憑	3
bing	瓶	3
bing	病	95
bing	評	22
bo	婆	9
bo	縛	39
bo	薄	2
boh	伏	11
boh	僕	113
boh	泊	1
boh	薄	2
bong	篷	11
bu	步	9
bu	菩	11
bu	葡	20
bu	部	5
bun	伴	4
bun	盤	10
bun	磐	1
bæn	爿	2
bæn	辦	60
bô	扒	1
bô	爬	91
bô	稗	9
bông	旁	23
bông	棒	2
bông	防	11
cih	折	1
cing	准	4
cing	準	2
cing	震	7
coh	只	2
coh	捉	2
coh	桌	6
coh	燭	2
coh	祝	34
coh	築	1
coh	給	17
cong	中	190
cong	宗	3
cong	忠	13
cong	種	48
cong	終	4
cong	腫	1
cong	衆	222
cong	鐘	26
cô	揸	7
côh	囑	12
công	壯	9
công	掌	10
công	樁	4
công	章	2
cü	主	1212
cü	制	6
cü	嘴	33
cü	子	2
cü	株	34
cü	注	2
cü	珠	3
cü	知	246
cü	蛀	6
cü	豬	20
cü	鑄	1
cün	專	2
cün	轉	235
cʽih	出	770
cʽing	春	1
cʽoh	戳	7
cʽong	充	6
cʽong	寵	2
cʽong	沖	2
cʽong	𥅻	3
cʽô	扯	7
cʽông	闖	4
cʽü	取	29
cʽü	吹	11
cʽü	娶	27
cʽü	癡	4
cʽü	處	86
cʽü	趣	2
cʽün	穿	53
da	埭	12
da	大	262
dah	踏	11
dah	達	11
dang	宕	3
dao	導	6
dao	盜	24
dao	萄	20
dao	蹈	1
dao	逃	19
dao	道	529
dao	陶	10
de	了	815
de	兌	4
de	隊	90
deh	凸	10
deh	奪	27
deh	特	32
deh	突	6
den	窞	5
den	頭	26
deng	庉	151
deng	騰	1
deo	投	11
deo	頭	1208
di	啼	24
di	地	354
di	弟	176
di	提	66
di	第	92
di	遞	3
diah	碟	2
diao	掉	365
diao	條	28
diao	調	13
dih	敵	23
dih	笛	2
din	填	1
din	墊	1
din	殿	97
din	甜	1
din	田	68
din	甸	1
din	鈿	46
din	電	4
din	頭	1
ding	亭	1
ding	定	148
djih	絕	3
djoh	逐	2
djong	蟲	15
djong	重	70
djô	搽	11
djôh	着	548
djông	常	63
djông	撞	8
djü	住	76
djü	治	3
djü	除	34
djün	傳	140
djün	全	48
djün	痊	12
do	大	390
do	惰	1
do	舵	1
do	馱	208
do	駝	6
doh	毒	14
doh	瀆	20
doh	獨	24
doh	讀	90
doh	鐸	2
dong	動	92
