羅馬字	漢字	頻率
ah	軛	2
ah-bo	阿婆	1
ah-di	阿弟	2
ah-jih	壓實	1
ah-ko	阿哥	1
ah-lah	阿拉	75
ah-lah-go	阿拉個	4
ah-leh	壓勒	1
ah-nyiang	阿孃	21
ah-tia	阿爹	47
ah-tia-go	阿爹個	4
ao-hwe	懊悔	3
ao-miao	奧妙	1
ao-tsao	鏖糟	8
bah	白	2
bah-bah	白白	2
bah-cʽih	拔出	1
bah-diao	拔掉	3
bah-go	白個	1
bah-lih-lih	白力力	1
bang-djôh	碰着	1
bao-leh	抱勒	1
bao-ts	袍子	1
be	被	12
be	倍	7
be-bæn	備辦	3
be-hao-de	備好了	1
be-hao-kæn	備好間	1
be-hao-kæn-go	備好間個	1
be-hao-liao-go	備好了個	1
be-hao-tong	備好東	1
be-hao-tong-go	備好東個	1
beh-keh	鵓鴿	3
beng-ts-li	盆子裏	1
beng-yiu	朋友	4
bi	皮	1
bi-dæ	皮袋	4
bi-go	皮個	1
biao	嫖	1
bih-da	別埭	1
bih-go	別個	7
bih-koh	別國	1
bih-koh-nying	別國人	8
bih-koh-nying-go	別國人個	1
bih-nyiang-kao	別樣告	2
bih-nying	別人	9
bih-nying-go	別人個	1
bih-si-poh	別西卜	3
bih-tsah	別隻	1
bin-cʽih	辨出	1
bin-feh-cʽih	辨弗出	1
bin-i	便宜	1
bin-leh	辨勒	1
bin-pih	辨別	1
bing	病	10
bing	並	2
bing-dzih-go	平直個	2
bing-en	平安	3
bing-fi	並非	1
bing-kyü	憑據	1
bing-nying	病人	2
bing-tsing	病症	1
bing-tʽin-kwun	平天冠	1
bing-tʽong	病痛	4
bo	縛	1
bo-djü	縛住	3
bo-djü-go	縛住個	2
bo-ho	薄荷	1
bo-long	縛攏	1
bo-ts	縛仔	2
bo-tæn-long	縛帶攏	1
bu-dao	葡萄	1
bu-dao-yün	葡萄園	1
bu-dao-yün-li	葡萄園裏	5
bu-ʽang	步行	1
bun-li	盤裏	2
bun-meng	盤問	2
bæn	辦	9
bô-kyʽi	爬起	7
bô-kyʽi-læ	爬起來	9
bô-kyʽi-sing	爬起身	1
bô-tsʽao	稗草	8
bô-tsʽao-go	稗草個	1
bông-be-hao	防備好	1
cing	准	1
cing-dong	震動	1
cing-dong-ko-de	震動過了	1
coh	囑	4
coh-foh	祝福	1
coh-foh-go	祝福個	1
coh-foh-ts	祝福仔	1
coh-teng-ʽô	桌凳下	1
coh-tin	囑點	1
coh-tsæn-go	祝讚個	2
coh-zia-ts	祝謝仔	1
cong	衆	6
cong	種	1
cong-din-nying	種田人	7
cong-hyiao-ta	忠孝帶	1
cong-kæn	種間	2
cong-nyiang	中央	25
cong-nying	衆人	12
cong-sing	忠心	3
cong-sing-go	忠心個	2
cong-tih-go	種的個	1
cong-tông	種黨	2
cô	揸	2
cô-leh	揸勒	2
công-công	壯壯	1
công-kæn	樁間	1
cü	主	57
cü-diao	蛀掉	2
cü-djong	蛀蟲	2
cü-go	主個	6
cü-i	主意	3
cü-kwu	主顧	133
cü-kwu-go	主顧個	6
cü-kwü-go	主顧個	1
cü-nying-kô	主人家	19
cü-nying-kô-go	主人家個	2
cü-pô	嘴巴	4
cü-pô-li	嘴巴裏	4
cü-sing	注心	1
cü-ts	珠子	3
cü-tsæ	主宰	2
cün-kyʽi	轉去	1
cün-læ	轉來	3
cün-w̆æn	轉彎	1
cʽih	出	10
cʽih-ko	出過	1
cʽih-kyʽi	出去	3
cʽih-læ	出來	7
cʽih-læ-go	出來個	1
cʽih-meng	出門	3
cʽih-meng-go	出門個	1
cʽih-meng-kæn	出門間	4
cʽih-poh-go	出膊個	4
cʽih-yin	出現	1
cʽoh	戳	1
cʽô-kʽæ	扯開	1
cʽü	娶	12
cʽü	取	2
cʽü	吹	2
cʽü	處	1
cʽü-dong-go	吹動個	1
cʽü-joh	取贖	1
cʽü-ko-læ	吹過來	2
cʽü-siao	取笑	2
cʽü-siao-hao-ts	取笑好仔	1
cʽü-tin-go	癡癲個	1
cʽü-tsing	娶進	2
cʽü-ʽông	吹行	1
cʽün	穿	10
