羅馬字	漢字	頻率
a	矮	2
ah	阿	96
ao	懊	1
ao	拗	1
bah	白	7
bao	抱	1
be	備	2
be	背	3
be	被	5
beh	浡	2
beng	朋	2
bi	避	4
bih	別	14
bih	闢	1
bing	平	1
bing	病	12
bo	縛	2
boh	伏	1
boh	泊	1
boh	薄	1
bu	步	2
bu	部	1
bæn	辦	1
bô	爬	5
bô	琶	2
bông	旁	3
bông	棒	2
bông	防	2
coh	只	3
coh	捉	1
coh	燭	2
coh	竹	3
cong	種	3
cong	終	2
cong	衆	9
cong	鐘	4
công	掌	1
cü	主	14
cü	嘴	1
cü	株	3
cü	知	9
cün	轉	5
cʽih	出	27
cʽoh	戳	1
cʽong	寵	2
cʽong	衝	1
cʽü	取	3
cʽü	吹	1
cʽü	處	2
cʽün	穿	2
da	埭	4
da	大	10
dah	踏	1
dao	導	5
dao	盜	6
dao	蹈	1
dao	逃	1
dao	道	10
de	了	52
deh	了	1
deh	特	3
den	頭	3
deng	庉	19
deo	頭	32
di	地	23
di	弟	8
di	第	4
di	蹄	1
diao	掉	6
diao	條	1
diao	調	1
din	墊	2
din	鈿	4
ding	亭	4
ding	定	11
djoh	着	32
djong	重	4
djông	常	12
djông	撞	1
djü	住	4
djü	除	1
djün	傳	2
djün	全	1
do	大	27
do	惰	1
do	馱	14
doh	獨	3
doh	讀	15
dong	動	2
dong	同	1
dong	桶	1
dong	洞	2
dong	銅	2
du	塗	2
du	徒	2
dz	慈	2
dza	咋	22
dzi	遲	1
dziah	着	3
dziang	丈	2
dziang	詳	2
dziang	長	4
dziao	潮	7
dzih	值	3
dzih	直	2
dzin	漸	6
dzing	仍	3
dzing	城	2
dzing	情	1
dzing	成	1
dzing	盡	2
dzing	靜	1
dzong	從	7
dzu	助	8
dzæ	在	9
dzæ	財	1
dæ	待	1
dæ	怠	1
dæ	抬	2
dæ	臺	1
dæn	但	13
dô	大	6
dông	堂	4
dön	團	4
dön	斷	2
en	安	22
en	按	1
en	暗	6
eng	恩	4
eo	傴	1
eo	謳	6
fah	法	7
fah	發	3
feh	弗	95
feng	吩	3
feng	紛	2
fi	非	3
foh	福	12
fong	風	11
fu	付	2
fu	咐	3
fu	夫	11
fæn	反	1
fæn	泛	2
fæn	番	3
fông	放	3
fông	方	13
go	個	357
gwông	狂	1
gyi	其	198
gyi	及	2
gyi	奇	2
gyi	旗	1
gyi	祈	1
gyi	騎	1
gyiang	強	6
gyiang	滰	1
gyin	虔	4
gying	近	2
gyiu	求	26
gyiu	舊	4
gyü	跪	1
gyüih	掘	2
gyüong	窮	4
hao	好	74
heh	黑	1
ho	夥	1
ho	火	1
ho	貨	4
hwe	悔	2
hweh	忽	2
hwun	歡	7
hwô	化	2
hwô	花	4
hwông	況	1
hwông	謊	7
hyi	喜	7
hyi	稀	2
hyiang	享	2
hyiang	向	5
hyiang	鄉	6
hyiang	響	5
hyiao	孝	2
hyiao	曉	17
hyih	吸	3
hyih	歇	4
hyin	險	5
hying	興	1
hyü	許	7
hyüih	血	2
hyüing	訓	7
hyüong	兇	4
hyüong	嗅	2
hæ	海	10
i	依	5
i	意	10
i	衣	2
i	醫	2
iao	要	41
ih	一	101
ing	因	11
ing	應	4
ing	映	1
ing	英	1
ing	音	2
iu	幽	1
jih	十	4
jih	實	6
jing	巡	2
jing	循	1
jing	忍	1
jing	神	18
jing	認	3
jing	順	7
joh	熟	2
joh	贖	2
jü	如	4
jü	樹	3
jü	緒	2
