羅馬字	漢字	頻率
a-a-go	矮矮個	1
ah-di	阿弟	5
ah-di-go	阿弟個	2
ah-ko	阿哥	1
ah-lah	阿拉	11
ah-nyiang	阿孃	18
ah-nyiang-go	阿孃個	7
ah-tia	阿爹	44
ah-tia-go	阿爹個	6
ah-tsi	阿姊	2
ao	拗	1
ao-hwe	懊悔	1
bah-bah-go	白白個	1
bah-liao-liao-go	白䩍䩍個	1
bah-lih-lih	白力力	1
bao	抱	1
be	被	5
be-hao	備好	1
beh-cʽih	浡出	2
beng-yiu	朋友	2
bi-ko	避過	3
bih-da	別埭	1
bih-go	別個	1
bih-ih-bih	別一別	2
bih-loh-læ	別落來	1
bih-nying	別人	4
bih-nying-go	別人個	1
bih-yiang	別樣	1
bih-yiang-kao	別樣告	1
bing	病	7
bo-hao	縛好	1
bo-læ	縛來	1
boh-ts	伏仔	1
bæn-ko-ts	辦過仔	1
bô	琶	2
bô-kyʽi	爬起	2
bô-kyʽi-læ	爬起來	1
bô-kyʽi-sing	爬起身	1
bô-zông-kyʽi	爬上去	1
bông	棒	1
bông-den	棒頭	1
bông-pin	旁邊	3
coh-dæ-zông	燭臺上	1
coh-kwun	只管	3
coh-teng	竹凳	3
coh-yiah	捉藥	1
cong	衆	4
cong	終	1
cong	鐘	1
cong-nying	衆人	1
cong-nying-go	衆人個	3
cong-tih-go	種的個	1
cong-ü	終於	1
công-kwun	掌管	1
cü	主	3
cü	嘴	1
cü-i	主意	2
cü-kwu	主顧	1
cün-læ	轉來	2
cʽih	出	2
cʽih-kæn	出間	1
cʽih-leh	出勒	1
cʽih-tong-de	出東了	1
cʽih-tong-go	出東個	2
cʽih-tʽeh	出脫	2
cʽih-zông-de	出上了	1
cʽoh	戳	1
cʽong-djông	衝撞	1
cʽong-æ-go	寵愛個	2
cʽü	吹	1
cʽü-joh	取贖	1
cʽü-siao	取笑	2
cʽün	穿	1
cʽün-go	穿個	1
da-be	大備	1
da-bih-go	大闢個	1
da-ing	大英	1
da-kæ	大概	2
da-kæ-go	大概個	1
da-kʽoh	大哭	1
dah-djoh	踏着	1
dao	道	3
dao-kyü	蹈矩	1
dao-li	道理	6
dao-tseo	逃走	1
de	了	4
deh-ma	特買	1
deh-ma-go	特買個	1
deh-we	特爲	1
deng	庉	10
deng-kæn	庉間	1
deng-leh	庉勒	1
deng-læ	庉來	4
deng-tih	庉的	2
deng-zông	庉上	1
deo	頭	2
deo-li	頭裏	1
deo-zông	頭上	1
di	第	3
di	地	2
di-fông	地方	11
di-ng	第五	1
di-yiang	地垟	1
di-yiang-li	地垟裏	1
diao-dzih	調直	1
din	墊	1
din-læ	墊來	1
ding-kwe	定規	2
djong-sang	重生	1
djong-si	重世	1
djong-tæn	重擔	1
djü	除	1
djün	傳	2
do	馱	5
do	大	4
do-cʽih	馱出	1
do-do	大大	2
do-do-go	大大個	4
do-dzæ	大財	1
do-feh-læ-go	馱弗來個	1
do-go	大個	1
do-go	馱個	1
do-leh	馱勒	1
do-leh-kyʽi	馱勒去	1
do-læ	馱來	3
do-nyiang	大樣	1
do-nying	大人	2
do-nying-go	大人個	2
do-ts	馱仔	1
doh	讀	5
doh-doh	讀讀	3
