羅馬字	漢字	頻率
ah	軛	2
ah	阿	38
ao	奧	17
ao	嶴	4
ao	懊	8
ao	拗	1
ao	鏖	5
ba	敗	15
ba	牌	4
bah	拔	1
bah	白	22
bao	抱	5
bao	暴	2
be	倍	4
be	備	36
be	背	3
be	被	29
beh	浡	1
beh	鈸	1
beh	鼻	1
beng	朋	17
beng	笨	1
bi	皮	2
bi	避	6
bih	別	15
bih	闢	4
bin	辯	1
bing	平	29
bing	憑	2
bing	病	18
bing	評	2
bing	貧	1
bo	縛	2
boh	僕	3
boh	薄	1
bu	步	15
bun	盤	4
bun	磐	1
bæn	辦	12
bô	爬	3
bông	旁	3
bông	棒	2
bông	防	2
cing	准	5
cing	震	1
coh	折	3
coh	祝	27
coh	竺	1
cong	中	21
cong	忠	1
cong	種	3
cong	終	17
cong	衆	15
công	掌	8
cü	主	376
cü	制	1
cü	嘴	2
cü	子	1
cü	智	1
cü	株	1
cü	注	1
cü	珠	2
cü	知	23
cü	緻	4
cü	製	1
cü	註	2
cün	轉	38
cʽih	出	107
cʽing	春	2
cʽing	蠢	2
cʽoh	觸	1
cʽong	充	3
cʽong	寵	1
cʽong	𥅻	1
cʽô	扯	2
cʽü	取	26
cʽü	吹	7
cʽü	處	48
cʽü	趣	5
cʽün	穿	10
da	埭	3
da	大	48
dah	踏	2
dao	導	31
dao	盜	2
dao	稻	1
dao	逃	2
dao	道	32
de	了	18
de	隊	10
deh	奪	1
deh	特	3
den	頭	3
deng	庉	35
deng	盾	3
deng	騰	1
deo	頭	89
di	地	152
di	弟	6
di	提	2
di	第	4
diao	掉	41
diao	條	3
diao	調	11
dih	敵	19
din	殿	1
din	田	7
din	鈿	5
din	電	3
ding	定	32
djih	絕	3
djoh	着	1
djoh	逐	4
djong	蟲	4
djong	重	25
djô	搽	1
djôh	着	104
djôh	逐	2
djông	常	80
djông	撞	1
djü	住	31
djü	柱	4
djü	治	5
djü	除	9
djün	傳	39
djün	全	52
djün	旋	1
do	大	79
do	馱	6
doh	度	3
doh	毒	4
doh	瀆	2
doh	獨	27
doh	讀	4
dong	動	34
dong	同	26
dong	洞	2
dong	童	2
dong	筒	1
dong	銅	1
du	圖	1
du	堵	1
du	塗	2
du	度	9
du	徒	76
du	渡	1
du	肚	2
dz	慈	77
dza	咋	74
dzao	造	2
dzeh	擇	2
dzeh	雜	1
dzeng	存	11
dzeng	曾	3
dzi	池	4
dzi	豸	3
dzi	遲	3
dziah	着	2
dziang	腸	1
dziang	詳	1
dziang	長	31
dziao	召	7
dziao	朝	2
dzih	值	5
dzih	直	26
dzin	纏	1
dzing	仍	12
dzing	剩	1
dzing	城	3
dzing	塵	2
dzing	情	14
dzing	成	19
dzing	承	8
dzing	沉	2
dzing	盡	35
dzing	程	2
dzing	臣	1
dzing	誠	9
dzing	陣	1
dziu	仇	20
dziu	宙	3
dzoh	族	3
dzong	從	50
dzong	頌	4
dzu	助	40
dzæ	在	125
dzæ	才	5
dzæ	纔	3
dzæ	財	6
dzæn	暫	2
dzæn	賺	3
dzô	搽	1
dzô	查	1
dzô	蛇	3
