羅馬字	漢字	頻率
ah	軛	1
ah	阿	494
ao	坳	7
ao	嶴	1
ao	懊	2
ao	襖	1
ba	排	3
ba	敗	6
ba	牌	1
bah	白	12
bang	棚	2
bang	碰	2
bao	抱	6
bao	暴	1
bao	袍	1
be	佩	10
be	倍	8
be	備	17
be	背	2
be	被	18
be	陪	5
beh	鵓	6
beng	朋	3
bi	皮	11
bi	避	5
bih	別	31
bih	鼻	5
bin	便	41
bin	辨	1
bin	辯	1
bing	並	1
bing	屏	1
bing	平	15
bing	憑	1
bing	瓶	9
bing	病	2
bing	評	2
bo	縛	7
boh	伏	21
boh	僕	66
boh	泊	2
boh	薄	3
bong	塳	1
bong	篷	28
bu	哺	2
bu	步	2
bu	葡	8
bun	伴	4
bun	叛	1
bun	盤	1
bun	磐	1
bæ	徘	3
bæn	辦	16
bô	爬	20
bông	旁	4
bông	防	1
cing	准	4
coh	囑	1
coh	桌	3
coh	祝	43
coh	給	2
cong	中	48
cong	宗	5
cong	棕	4
cong	種	32
cong	總	2
cong	衆	36
công	壯	14
công	掌	4
cü	主	92
cü	制	2
cü	嘴	12
cü	智	2
cü	株	5
cü	珠	1
cü	知	26
cün	磚	2
cün	轉	28
cʽih	出	204
cʽoh	觸	1
cʽong	充	2
cʽong	寵	1
cʽong	衝	2
cʽô	扯	3
cʽông	窗	4
cʽông	闖	1
cʽü	取	51
cʽü	吹	8
cʽü	娶	3
cʽü	處	24
cʽün	穿	7
cʽün	舛	1
da	埭	12
da	大	87
dah	達	8
dao	導	2
dao	盜	1
dao	稻	1
dao	萄	8
dao	逃	20
dao	道	52
de	了	201
de	隊	41
deh	凸	1
deh	奪	9
deh	特	20
den	頭	1
deng	庉	81
deng	盾	1
deo	豆	1
deo	頭	363
di	啼	2
di	地	442
di	弟	138
di	提	16
di	第	36
diah	疊	1
diao	掉	57
diao	條	1
diao	調	12
dih	敵	7
dih	笛	1
dih	糴	5
din	填	1
din	奠	1
din	田	65
din	甸	5
din	鈿	14
ding	亭	8
ding	停	2
ding	定	68
djih	絕	1
djoh	着	117
djoh	逐	1
djong	蟲	12
djong	重	12
djông	常	9
djü	住	17
djü	廚	1
djü	柱	12
djü	治	9
djü	除	10
djün	傳	7
djün	全	27
do	大	100
do	陀	2
do	馱	87
do	駝	26
doh	毒	1
doh	獨	8
dong	動	39
dong	同	50
dong	童	3
dong	銅	1
du	塗	1
du	度	1
du	渡	2
du	肚	2
dz	慈	1
dza	咋	54
dzeh	擇	1
dzeh	雜	3
dzeng	存	3
dzi	豸	11
dziang	丈	10
dziang	場	3
dziang	杖	2
dziang	長	9
dziao	朝	14
dziao	潮	4
dzih	值	7
dzih	姪	4
dzih	直	12
dzin	漸	6
dzing	仍	7
dzing	剩	8
dzing	城	57
dzing	塵	8
dzing	情	6
dzing	成	16
dzing	程	2
dzing	臣	9
dzing	誠	9
dziu	仇	6
dzoh	俗	1
dzoh	族	28
dzong	從	121
dzu	助	3
dzæ	在	25
dzæ	才	2
dzæ	纔	2
dzæ	財	10
dzæn	綻	2
dzô	查	1
dzô	蛇	7
dæ	代	77
dæ	待	19
dæ	抬	49
dæ	袋	23
dæn	但	71
dæn	壇	13
dæn	彈	2
dô	大	94
dông	糖	1
dông	蕩	24
dông	趤	2
dön	團	5
dön	斷	8
en	安	45
en	按	1
en	暗	8
en	鞍	1
eng	恩	28
eo	傴	7
eo	謳	62
fah	法	147
fah	發	15
fah	髮	3
feh	弗	324
feng	分	29
feng	吩	33
feng	粉	2
fi	榧	1
fi	腓	4
fi	非	20
fi	飛	20
foh	福	83
fong	俸	1
fong	楓	1
fong	豐	2
fong	風	6
fu	付	13
fu	傅	1
fu	咐	33
fu	夫	17
fu	孚	1
fu	富	3
fæn	反	2
fæn	氾	4
fæn	番	3
fông	妨	1
fông	放	36
fông	方	281
gah	軋	1
gao	絞	5
geo	跔	1
go	個	2145
gong	共	6
gwa	懷	2
gwah	刮	2
gwu	跍	1
gwæn	環	1
gyi	其	1275
gyi	及	1
gyi	奇	1
gyi	妓	6
gyi	忌	1
gyi	騎	4
gyiang	強	3
gyiang	滰	10
gyih	及	98
gyih	極	2
gyin	件	1
gyin	健	3
gyin	圈	2
gyin	鉗	1
gying	勁	1
gying	琴	1
gying	禽	15
gying	近	14
gyiu	求	15
gyiu	球	2
gyiu	舅	4
gyiu	舊	7
gyü	懼	8
gyü	跪	2
gyüih	掘	10
gyüing	裙	1
gyün	權	3
gyüoh	鐲	3
ha	哈	48
hah	喝	7
hah	瞎	1
hao	好	330
heh	赫	22
heh	黑	2
hen	罕	138
heng	狠	2
heo	鱟	3
ho	火	12
ho	貨	1
hoh	𢞕	5
hong	哄	1
hwe	悔	2
hwe	毀	1
hwe	灰	10
hweh	忽	1
hwu	呼	6
hwun	歡	12
hwun	花	2
hwô	化	3
