羅馬字	漢字	頻率
ah	軛	1
ah-bu	阿哺	2
ah-di	阿弟	39
ah-di-go	阿弟個	3
ah-ko	阿哥	29
ah-ko-go	阿哥個	1
ah-kong	阿公	2
ah-lah	阿拉	158
ah-lah-go	阿拉個	16
ah-ma	阿買	5
ah-me	阿妹	10
ah-me-go	阿妹個	1
ah-nyiang	阿孃	20
ah-sao	阿嫂	2
ah-tia	阿爹	173
ah-tia-go	阿爹個	22
ah-tsi	阿姊	2
ah-yi	阿姨	7
ah-yi-go	阿姨個	1
ao	嶴	1
ao-hwe	懊悔	1
ao-hwe-de	懊悔了	1
bah	白	4
bah-bah	白白	1
bah-bah-go	白白個	1
bah-læn	白籃	1
bang-djoh	碰着	2
bao-leh	抱勒	5
bao-læ	抱來	1
bao-nyiah	暴虐	1
bao-ts	袍子	1
be	被	18
be	佩	7
be	陪	5
be	倍	2
be	備	1
be-bun	背叛	1
be-bæn	備辦	9
be-bæn-leh	備辦了	1
be-hao-liao-go	備好了個	1
be-leh	備勒	1
beh-keh	鵓鴿	6
beng-yiu	朋友	3
bi	皮	2
bi-ao	皮襖	1
bi-dæ	皮袋	2
bi-go	皮個	1
bi-ko	避過	2
bih-deo-kwun	鼻頭管	3
bih-go	別個	2
bih-koh	別國	3
bih-kyʽün	鼻圈	2
bih-kʽæ-go	別開個	1
bih-lah-hæ-læ	別拉海萊	3
bih-li-go	別利個	1
bih-nying	別人	2
bih-tʽah	別埭	1
bih-yiang	別樣	1
bih-z-pô	別是巴	11
bin	辯	1
bin-feh-tsʽing-tʽong	辨弗清通	1
bin-o-nyi	便阿尼	1
bin-yi-li	便以利	2
bin-yüô-ming	便雅憫	14
bin-yüô-ming-go	便雅憫個	3
bin-üô-mi	便亞米	1
bing	瓶	6
bing	病	1
bing-ba	並排	1
bing-en	平安	1
bing-fong	屏風	1
bing-kyü	憑據	1
bing-li-go	瓶裏個	3
bing-loh-de	平落了	1
bing-yiang	平垟	6
bing-yiang-go	平垟個	1
bing-yiang-li	平垟裏	2
bo	縛	3
bo-leh	縛勒	1
bo-tong	縛東	1
boh	伏	2
boh	泊	1
boh-boh-go	薄薄個	1
boh-kæn	伏間	1
boh-tao	伏倒	14
boh-tih	伏的	1
boh-tæn-tao	伏帶倒	3
bong-dzing	塳塵	1
bu-dao	葡萄	5
bu-dao-jü-li	葡萄樹裏	2
bu-dao-ts	葡萄籽	1
bun-meng	盤問	1
bun-zah	磐石	1
bæn	辦	4
bæn-tsiu	辦酒	2
bô-go	爬個	6
bô-kyʽi	爬起	12
bô-kyʽi-læ	爬起來	1
bô-tæn-kyʽi	爬帶起	1
bông-pin	旁邊	4
cing	准	4
coh	給	1
coh-foh	祝福	35
coh-foh-go	祝福個	2
coh-go	祝個	2
coh-tin	給點	1
coh-tsæn	祝讚	2
coh-tʽoh	囑託	1
coh-zia	祝謝	2
cong	衆	19
cong	種	4
cong	中	1
cong-din	種田	1
cong-din-nying	種田人	1
cong-i	中意	2
cong-kwun	總管	1
cong-kwun-go	總管個	1
cong-nyiang	中央	41
cong-nyiang-go	中央個	3
cong-nying	衆人	13
cong-nying-go	衆人個	2
cong-sang	衆牲	1
cong-sang	衆生	1
cong-seh-go	棕色個	4
công-công	壯壯	4
công-công-go	壯壯個	1
công-gyün-go	掌權個	1
công-kwun	掌管	3
cü	主	34
cü	嘴	9
cü-de	主了	1
cü-du	制度	1
cü-go	主個	10
cü-gyin-li	嘴鉗裏	1
cü-meo	主母	3
cü-nying-kô	主人家	36
cü-nying-kô-go	主人家個	5
cü-ts	珠子	1
cü-tsæ	主宰	2
cü-voh	制服	1
cü-we-go	智慧個	2
cün	轉	1
cün-deo	磚頭	2
cün-læ	轉來	3
cʽih	出	20
cʽih-de	出了	1
cʽih-dzing	出城	1
cʽih-in-go	出煙個	1
cʽih-kyʽi	出去	8
cʽih-kyʽi	出起	1
cʽih-kyʽi-de	出去了	1
cʽih-kæn	出間	1
cʽih-lih	出力	1
cʽih-læ	出來	15
cʽih-læ-go	出來個	3
cʽih-mao-go	出毛個	1
cʽih-meng	出門	4
cʽih-meng-kyʽi	出門去	1
cʽih-sing-lu-tʽi	出身露體	6
cʽih-tsʽæn	出產	4
cʽoh-væn	觸犯	1
cʽong-mun	充滿	2
cʽong-zông	衝上	1
