羅馬字	漢字	頻率
a	挨	13
a	矮	4
a	阿	5
ah	壓	12
ah	押	6
ah	軛	6
ah	阿	1858
ang	㿮	2
ao	奧	35
ao	嶴	16
ao	懊	18
ao	拗	5
ao	澳	1
ao	襖	1
ao	鏖	43
ba	排	4
ba	敗	37
ba	牌	8
bah	拔	11
bah	白	140
bang	彭	3
bang	棚	14
bang	碰	6
bang	𦗭	5
bao	抱	35
bao	暴	11
bao	袍	8
bao	跑	1
be	佩	16
be	倍	31
be	備	123
be	背	18
be	被	152
be	裴	28
be	陪	11
beh	浡	7
beh	鈸	1
beh	鵓	16
beh	鼻	1
beng	朋	61
beng	盆	4
beng	笨	15
bi	坒	1
bi	疲	2
bi	皮	45
bi	肥	1
bi	避	26
biao	嫖	2
bih	別	326
bih	闢	77
bih	鼻	8
bih	𧼱	1
bih	𨂅	4
bin	便	82
bin	辨	9
bin	辯	14
bing	並	26
bing	屏	1
bing	平	96
bing	憑	8
bing	瓶	13
bing	病	154
bing	蘋	1
bing	評	30
bing	貧	2
bo	婆	11
bo	縛	52
bo	薄	2
boh	伏	33
boh	僕	182
boh	泊	5
boh	薄	10
bong	塳	1
bong	篷	40
bu	哺	2
bu	步	29
bu	簿	14
bu	菩	55
bu	葡	29
bu	蒲	100
bu	部	6
bun	伴	10
bun	叛	1
bun	盤	17
bun	磐	3
bæ	徘	3
bæn	爿	14
bæn	牌	3
bæn	辦	101
bô	扒	1
bô	爬	130
bô	琶	10
bô	稗	9
bôh	薄	1
bông	旁	37
bông	棒	7
bông	防	27
cih	折	1
cing	准	15
cing	準	2
cing	震	14
coh	只	10
coh	囑	1
coh	折	4
coh	捉	4
coh	桌	9
coh	燭	5
coh	祝	104
coh	竹	4
coh	竺	2
coh	築	1
coh	粥	2
coh	給	25
cong	中	266
cong	供	1
cong	宗	8
cong	忠	18
cong	棕	4
cong	種	92
cong	終	28
cong	總	5
cong	腫	3
cong	衆	293
cong	鐘	32
cô	揸	7
côh	囑	12
côh	斫	1
côh	築	3
công	壯	23
công	掌	26
công	樁	4
công	章	2
cü	主	1802
cü	制	10
cü	嘴	58
cü	子	3
cü	智	5
cü	株	57
cü	注	5
cü	珠	6
cü	知	331
cü	緻	7
cü	蛀	6
cü	製	1
cü	註	2
cü	諸	7
cü	豬	20
cü	鑄	2
cün	專	2
cün	磚	2
cün	轉	365
cʽih	出	1241
cʽing	春	4
cʽing	蠢	3
cʽoh	戳	10
cʽoh	觸	2
cʽong	充	15
cʽong	寵	5
cʽong	沖	2
cʽong	衝	3
cʽong	𥅻	4
cʽô	叉	4
cʽô	扯	12
cʽông	寵	1
cʽông	窗	4
cʽông	闖	5
cʽü	取	115
cʽü	吹	27
cʽü	娶	30
cʽü	癡	4
cʽü	處	180
cʽü	趣	8
cʽün	穿	82
cʽün	舛	1
da	埭	35
da	大	506
dah	踏	15
dah	達	21
dang	宕	3
dao	導	46
dao	桃	1
dao	盜	35
dao	稻	3
dao	萄	29
dao	蹈	2
dao	逃	48
dao	道	701
dao	陶	10
de	了	1381
de	兌	5
de	隊	149
deh	了	5
deh	凸	12
deh	奪	42
deh	特	70
deh	突	8
den	窞	6
den	頭	42
deng	屯	1
deng	庉	326
deng	盾	4
deng	騰	2
deo	投	18
deo	豆	1
deo	頭	1967
di	啼	26
di	地	1150
di	弟	340
di	提	90
di	第	188
di	蹄	1
di	遞	3
di	題	1
diah	牒	2
diah	疊	1
diah	碟	2
diao	掉	538
diao	條	34
diao	調	39
dih	敵	52
dih	笛	3
dih	糴	5
din	填	2
din	墊	3
din	奠	1
din	殿	99
din	甜	1
din	田	147
din	甸	6
din	鈿	125
din	電	7
din	頭	1
ding	亭	18
ding	停	2
ding	定	300
