羅馬字	漢字	頻率
a-djôh	捱着	1
a-long-læ	捱攏來	1
ah	軛	5
ah-bo	阿婆	1
ah-bu	阿哺	2
ah-di	阿弟	45
ah-di-go	阿弟個	3
ah-feh-djü	壓弗住	1
ah-fi-li-kyüô	阿非利加	4
ah-gyih-r	阿及爾	3
ah-jih	壓實	2
ah-ko	阿哥	33
ah-ko-go	阿哥個	1
ah-kong	阿公	2
ah-lah	阿拉	319
ah-lah-go	阿拉個	23
ah-leh	壓勒	1
ah-ma	阿買	5
ah-me	阿妹	11
ah-me-go	阿妹個	1
ah-nyiang	阿孃	60
ah-nyiang-go	阿孃個	1
ah-sah	壓煞	1
ah-sao	阿嫂	2
ah-tia	阿爹	235
ah-tia-go	阿爹個	28
ah-to	阿多	3
ah-tsi	阿姊	2
ah-yi	阿姨	7
ah-yi-go	阿姨個	1
ao	嶴	3
ao-di-li-üô	奧地利亞	6
ao-dön	拗斷	1
ao-hwe	懊悔	11
ao-hwe-de	懊悔了	1
ao-kwu-z-tôh	奧古士督	8
ao-miao	奧妙	14
ao-tsao	鏖糟	29
ao-tsao	懊糟	1
ba	敗	6
ba-de	敗了	1
ba-diao	敗掉	3
ba-ts	敗仔	3
ba-tsiang	敗仗	3
bah	白	7
bah	拔	1
bah-bah	白白	6
bah-bah-go	白白個	2
bah-cʽih	拔出	2
bah-de	白了	1
bah-diao	拔掉	3
bah-eng	白恩	1
bah-go	白個	2
bah-lih-lih	白力力	3
bah-læn	白籃	1
bah-mo	拔摩	1
bah-nyih	白日	3
bah-sing	白身	1
bah-zông	拔上	1
bang-djoh	碰着	2
bang-djôh	碰着	1
bao	抱	5
bao	跑	1
bao-leh	抱勒	7
bao-læ	抱來	1
bao-nyiah	暴虐	6
bao-ts	袍子	2
bao-z	暴時	1
bao-zông	抱上	1
be	被	69
be	倍	15
be	佩	8
be	陪	5
be	備	1
be-be	備備	3
be-bun	背叛	1
be-bæn	備辦	20
be-bæn-leh	備辦了	1
be-go	倍個	1
be-hao	備好	2
be-hao-de	備好了	1
be-hao-kæn	備好間	5
be-hao-kæn-go	備好間個	1
be-hao-liao-go	備好了個	1
be-hao-liao-go	備好料個	1
be-hao-tong	備好東	1
be-hao-tong-go	備好東個	1
be-leh	備勒	1
beh-cʽih	鼻出	1
beh-keh	鵓鴿	11
beng	笨	1
beng-go	笨個	1
beng-ts-li	盆子裏	2
beng-yiu	朋友	23
beng-yiu-kô	朋友家	2
bi	皮	3
bi-ao	皮襖	1
bi-dæ	皮袋	10
bi-go	皮個	3
bi-ko	避過	4
biao	嫖	2
bih	別	5
bih	𧼱	1
bih-cʽü	別處	4
bih-da	別埭	1
bih-deo-kwun	鼻頭管	3
bih-go	別個	18
bih-koh	別國	14
bih-koh-go	別國個	2
bih-koh-nying	別國人	10
bih-koh-nying-go	別國人個	1
bih-kyʽün	鼻圈	2
bih-kôh	別國	1
bih-kʽæ-go	別開個	1
bih-kʽæ-ts	別開仔	1
bih-lah-hæ-læ	別拉海萊	3
bih-li-go	別利個	1
bih-nyiang-kao	別樣告	9
bih-nying	別人	20
bih-nying-go	別人個	2
bih-shü	別書	1
bih-si-poh	別西卜	4
bih-tsah	別隻	3
bih-tʽah	別埭	1
bih-u-sen	別烏碎	2
bih-yiang	別樣	7
bih-z-pô	別是巴	11
bin	便	1
bin	辯	1
bin-cʽih	辨出	1
bin-feh-cʽih	辨弗出	1
bin-feh-tsʽing-tʽong	辨弗清通	1
bin-i	便宜	2
bin-leh	辨勒	1
bin-o-nyi	便阿尼	1
bin-pih	辨別	1
bin-tông	便當	1
bin-yi-li	便以利	2
bin-yüô-ming	便雅憫	14
bin-yüô-ming-go	便雅憫個	3
bin-üô-mi	便亞米	1
bing	病	24
bing	瓶	6
bing	並	3
bing-ba	並排	1
bing-deo	平頭	1
bing-di	平地	1
bing-dzih	平直	2
bing-dzih-go	平直個	2
bing-en	平安	5
bing-en-ts	平安之	1
bing-feh-z	並弗是	1
bing-fi	並非	1
bing-fong	屏風	1
bing-kyü	憑據	5
bing-li-go	瓶裏個	3
bing-loh-de	平落了	1
bing-nying	病人	3
bing-nyün	病源	1
bing-tsing	病症	2
bing-tʽin-kwun	平天冠	2
bing-tʽong	病痛	9
bing-tʽæn	平坦	1
bing-yiang	平垟	6
bing-yiang-go	平垟個	1
bing-yiang-li	平垟裏	2
bing-zin	貧賤	1
bo	縛	6
bo-djü	縛住	5
bo-djü-go	縛住個	2
bo-ho	薄荷	1
bo-kæn	縛間	1
bo-leh	縛勒	2
bo-long	縛攏	1
bo-tong	縛東	1
bo-ts	縛仔	2
bo-tæn-long	縛帶攏	1
boh	伏	2
boh	泊	1
boh-boh-go	薄薄個	1
boh-kæn	伏間	1
boh-tao	伏倒	19
boh-tih	伏的	1
boh-tæn-tao	伏帶倒	3
bong-dzing	塳塵	1
bu	步	1
bu-bu	步步	2
bu-dao	葡萄	7
bu-dao-jü-li	葡萄樹裏	2
bu-dao-ts	葡萄籽	1
bu-dao-yün	葡萄園	2
bu-dao-yün-li	葡萄園裏	5
bu-dao-yüô	葡萄牙	1
bu-sah	菩薩	21
bu-sah-go	菩薩個	3
bu-ʽang	步行	1
bu-ʽang-peng-long	步行奔攏	1
bun-li	盤裏	4
bun-meng	盤問	4
bun-zah	磐石	1
bæn	辦	30
bæn-fah	辦法	1
bæn-go	辦個	1
bæn-tsiu	辦酒	3
bæn-z-tʽi	辦事體	1
bô-go	爬個	6
bô-kyʽi	爬起	31
bô-kyʽi-læ	爬起來	14
bô-kyʽi-sing	爬起身	2
bô-tsʽao	稗草	8
bô-tsʽao-go	稗草個	1
bô-tæn-kyʽi	爬帶起	1
bông	棒	3
bông-be	防備	1
bông-be-hao	防備好	1
bông-feh-djôh	防弗着	1
bông-pin	旁邊	13
bông-tao	防到	1
cih-dön	折斷	1
cing	准	13
cing-dong	震動	3
cing-dong-ko-de	震動過了	1
cing-leh	震勒	2
coh	給	8
coh	捉	1
coh-cün	折轉	1
coh-foh	祝福	41
coh-foh-go	祝福個	3
coh-foh-ts	祝福仔	4
coh-go	祝個	2
coh-kwun	捉管	2
coh-teng-ʽô	桌凳下	2
coh-tin	給點	2
coh-tsæn	祝讚	8
coh-tsæn-go	祝讚個	4
coh-tʽoh	囑託	1
coh-veng	祝文	1
coh-zia	祝謝	18
coh-zia-ts	祝謝仔	3
cong	衆	44
cong	種	6
cong	中	5
cong	終	1
cong	總	1
cong-din	種田	2
cong-din-nying	種田人	13
cong-hyiao-ta	忠孝帶	1
cong-i	中意	2
cong-koh	中國	3
cong-kwun	總管	1
cong-kwun-go	總管個	1
cong-kæn	種間	2
cong-læ	種來	1
cong-ming	總名	1
cong-nyiang	中央	83
cong-nyiang-go	中央個	3
cong-nying	衆人	49
cong-nying-go	衆人個	4
cong-pao	中保	9
cong-ping	總兵	1
cong-sang	衆牲	1
cong-sang	衆生	1
cong-seh-go	棕色個	4
cong-sing	忠心	3
cong-sing	忠信	1
cong-sing-go	忠心個	2
cong-tih-go	種的個	1
cong-tông	種黨	2
cong-ü	終於	3
cô	揸	3
cô-leh	揸勒	2
côh	築	1
côh-go	築個	2
côh-za	斫柴	1
công	掌	2
công-công	壯壯	5
công-công-go	壯壯個	1
công-gyün	掌權	2
công-gyün-go	掌權個	1
công-kwun	掌管	5
công-kæn	樁間	3
cü	主	260
cü	嘴	9
cü-cʽih-go	鑄出個	1
cü-dao	知道	1
cü-de	主了	1
cü-diao	蛀掉	2
cü-ding	註定	2
cü-djong	蛀蟲	2
cü-du	制度	1
cü-go	主個	39
cü-gyin-li	嘴鉗裏	1
cü-i	主意	12
cü-kwu	主顧	255
cü-kwu-go	主顧個	12
cü-kwu-z	主顧是	1
cü-kwü-go	主顧個	1
cü-kyiao	主教	1
cü-meo	主母	3
cü-nao	主腦	1
cü-ngæn-beh-deo	嘴眼鼻頭	1
cü-nying-kô	主人家	57
cü-nying-kô-go	主人家個	7
cü-pô	嘴巴	9
cü-pô-li	嘴巴裏	5
cü-sih	知識	4
cü-sing	注心	2
cü-ts	珠子	5
cü-tsoh	知足	2
cü-tsoh	製作	1
cü-tsæ	主宰	21
cü-voh	制服	4
cü-we	智慧	1
cü-we-go	智慧個	2
cü-ʽeo	諸侯	7
cün	轉	1
cün-deo	磚頭	2
cün-fông	轉方	14
cün-ko	轉過	1
cün-kyʽi	轉去	2
cün-læ	轉來	12
cün-w̆æn	轉彎	1
cʽih	出	56
cʽih-de	出了	1
cʽih-dzing	出城	1
cʽih-go	出個	4
cʽih-gyi-peh-i	出其不意	2
cʽih-in-go	出煙個	1
cʽih-ko	出過	1
cʽih-kwun	出管	1
cʽih-kyʽi	出去	14
cʽih-kyʽi	出起	1
cʽih-kyʽi-de	出去了	1
cʽih-kæn	出間	1
cʽih-lih	出力	2
cʽih-ling	出令	1
cʽih-læ	出來	28
cʽih-læ-go	出來個	7
cʽih-mao-go	出毛個	1
cʽih-meng	出門	13
cʽih-meng-go	出門個	1
cʽih-meng-kyʽi	出門去	1
cʽih-meng-kæn	出門間	5
cʽih-ming-go	出名個	1
cʽih-nyiang-tʽæ	出娘胎	1
cʽih-poh-go	出膊個	6
cʽih-sih	出息	1
cʽih-sing	出身	3
cʽih-sing-go	出身個	1
cʽih-sing-lu-tʽi	出身露體	6
cʽih-tsʽæn	出產	4
cʽih-tʽæ	出胎	1
cʽih-yin	出現	3
cʽing-ʽô-tsʽiu-tong	春夏秋冬	2
cʽoh	戳	2
cʽoh-væn	觸犯	2
cʽong-kyüing	充軍	4
cʽong-mun	充滿	5
cʽong-zông	衝上	1
cʽô-beh	扯鈸	1
cʽô-dæn	扯淡	1
cʽô-kʽæ	扯開	5
cʽông	窗	1
cʽông-meng	窗門	1
cʽông-tsing	闖進	1
cʽü	取	54
cʽü	娶	19
cʽü	吹	4
cʽü	處	2
cʽü-cʽü	處處	1
cʽü-djôh	吹着	2
cʽü-dong-go	吹動個	1
cʽü-feh-tao	吹弗到	1
cʽü-go	取個	1
cʽü-joh	取贖	17
cʽü-joh-de	取贖了	2
cʽü-joh-go	取贖個	4
cʽü-joh-liao	取贖了	2
cʽü-ko	吹過	1
cʽü-ko-læ	吹過來	2
cʽü-kyʽi	吹去	2
cʽü-læ	吹來	2
cʽü-pih-liao	吹癟了	1
